CDKL4,CMGC,,,ENSG00000205111
CDKL5,CMGC,,,ENSG00000008086
CHAK1,Atypical,,,
CHAK2,Atypical,,,
CHED,CMGC,,,
CHK1,CAMK,,,
CHK2,CAMK,,,
CK1A,CK1,,,
CK1A2,CK1,,,
CK1D,CK1,,,
CK1E,CK1,,,
CK1G1,CK1,,,
CK1G2,CK1,,,
CK1G3,CK1,,,
CK2A1,CMGC,,,
CK2A2,CMGC,,,
CLIK1,Other,,,
CLIK1L,Other,,,
CLK1,CMGC,,,ENSG00000013441
CLK2,CMGC,,,ENSG00000176444
CLK3,CMGC,,,ENSG00000179335
CLK4,CMGC,,,ENSG00000113240
COL4A3BP,Atypical,,,
COT,STE,,,
CRIK,AGC,,,
CRK7,CMGC,,,
CSK,TK,,,ENSG00000103653
CTK,TK,,,
CYGD,RGC,,,
CYGF,RGC,,,
DAPK1,CAMK,,,ENSG00000196730
DAPK2,CAMK,,,ENSG00000035664
DAPK3,CAMK,,,ENSG00000167657
DCAMKL1,CAMK,,,
DCAMKL2,CAMK,,,
DCAMKL3,CAMK,,,
DDR1,TK,,,ENSG00000204580
DDR2,TK,,,ENSG00000162733
DLK,TKL,,,
DMPK1,AGC,,,
DMPK2,AGC,,,
DNAPK,Atypical,,,
DRAK1,CAMK,,,
DRAK2,CAMK,,,
DYRK1A,CMGC,,,ENSG00000157540
DYRK1B,CMGC,,,ENSG00000105204
DYRK2,CMGC,,,ENSG00000127334
DYRK3,CMGC,,,ENSG00000143479
DYRK4,CMGC,,,ENSG00000010219
EEF2K,Atypical,,,ENSG00000103319
EGFR,TK,,,ENSG00000146648
EPHA1,TK,,,ENSG00000146904
EPHA10,TK,,,ENSG00000183317
EPHA2,TK,,,ENSG00000142627
EPHA3,TK,,,ENSG00000044524
EPHA4,TK,,,ENSG00000116106
EPHA5,TK,,,ENSG00000145242
EPHA6,TK,,,ENSG00000080224
EPHA7,TK,,,ENSG00000135333
EPHA8,TK,,,ENSG00000070886
EPHB1,TK,,,ENSG00000154928
EPHB2,TK,,,ENSG00000133216
EPHB3,TK,,,ENSG00000182580
EPHB4,TK,,,ENSG00000196411
EPHB6,TK,,,ENSG00000106123
ERBB2,TK,,,ENSG00000141736
ERBB3,TK,,,ENSG00000065361
ERBB4,TK,,,ENSG00000178568
ERK1,CMGC,,,
ERK2,CMGC,,,
ERK3,CMGC,,,
ERK4,CMGC,,,
ERK5,CMGC,,,
ERK7,CMGC,,,
FAK,TK,,,
FASTK,Atypical,,,ENSG00000164896
FER,TK,,,ENSG00000151422
FES,TK,,,ENSG00000182511
FGFR1,TK,,,ENSG00000077782
FGFR2,TK,,,ENSG00000066468
FGFR3,TK,,,ENSG00000068078
FGFR4,TK,,,ENSG00000160867
FGR,TK,,,ENSG00000000938
FLT1,TK,,,ENSG00000102755
FLT3,TK,,,ENSG00000122025
FLT4,TK,,,ENSG00000037280
FMS,TK,,,
FRAP,Atypical,,,
FRK,TK,,,ENSG00000111816
FUSED,Other,,,
FYN,TK,,,ENSG00000010810
G11,Atypical,,,
GAK,Other,,,ENSG00000178950
GCK,STE,,,ENSG00000106633
GCN2,Other,,,
GCN2_B,STE,,,
GPRK4,AGC,,,
GPRK5,AGC,,,
GPRK6,AGC,,,
GPRK7,AGC,,,
GSK3A,CMGC,,,ENSG00000105723
GSK3B,CMGC,,,ENSG00000082701
GTF2F1,Atypical,,,ENSG00000125651
HASPIN,Other,,,ENSG00000177602
HCK,TK,,,ENSG00000101336
HGK,STE,,,
HGNC,Group,Family,SubFamily,
HH498,TKL,,,
HIPK1,CMGC,,,ENSG00000163349
HIPK2,CMGC,,,ENSG00000064393
HIPK3,CMGC,,,ENSG00000110422
HIPK4,CMGC,,,ENSG00000160396
HPK1,STE,,,
HRI,Other,,,
HSER,RGC,,,
HUNK,CAMK,,,ENSG00000142149
ICK,CMGC,,,
IGF1R,TK,,,ENSG00000140443
IKKA,Other,,,
IKKB,Other,,,
IKKE,Other,,,
ILK,TKL,,,ENSG00000166333
INSR,TK,,,ENSG00000171105
IRAK1,TKL,,,ENSG00000184216
IRAK2,TKL,,,ENSG00000134070
IRAK3,TKL,,,ENSG00000090376
IRAK4,TKL,,,ENSG00000198001
IRE1,Other,,,
IRE2,Other,,,
IRR,TK,,,
ITK,TK,,,ENSG00000113263
JAK1,TK,,,ENSG00000162434
JAK1_B,TK,,,
JAK2,TK,,,ENSG00000096968
JAK2_B,TK,,,
JAK3,TK,,,ENSG00000105639
JAK3_B,TK,,,
JNK1,CMGC,,,
JNK2,CMGC,,,
JNK3,CMGC,,,
KDR,TK,,,ENSG00000128052
KHS1,STE,,,
KHS2,STE,,,
KIS,Other,,,
KIT,TK,,,ENSG00000157404
KSR1,TKL,,,ENSG00000141068
KSR2,TKL,,,ENSG00000171435
LATS1,AGC,,,ENSG00000131023
LATS2,AGC,,,ENSG00000150457
LCK,TK,,,ENSG00000182866
LIMK1,TKL,,,ENSG00000106683
LIMK2,TKL,,,ENSG00000182541
LKB1,CAMK,,,
LMR1,TK,,,
LMR2,TK,,,
LMR3,TK,,,
LOK,STE,,,
LRRK1,TKL,,,ENSG00000154237
LRRK2,TKL,,,ENSG00000188906
LTK,TK,,,ENSG00000062524
LYN,TK,,,ENSG00000254087
LZK,TKL,,,
MAK,CMGC,,,ENSG00000111837
MAP2K1,STE,,,ENSG00000169032
MAP2K2,STE,,,ENSG00000126934
MAP2K3,STE,,,ENSG00000034152
MAP2K4,STE,,,ENSG00000065559
MAP2K5,STE,,,ENSG00000137764
MAP2K6,STE,,,ENSG00000108984
MAP2K7,STE,,,ENSG00000076984
MAP3K1,STE,,,ENSG00000095015
MAP3K19,STE,,,ENSG00000176601
MAP3K2,STE,,,ENSG00000169967
MAP3K3,STE,,,ENSG00000198909
MAP3K4,STE,,,ENSG00000085511
MAP3K5,STE,,,ENSG00000197442
MAP3K6,STE,,,ENSG00000142733
MAP3K7,STE,,,ENSG00000135341
MAPKAPK2,CAMK,,,ENSG00000162889
MAPKAPK3,CAMK,,,ENSG00000114738
MAPKAPK5,CAMK,,,ENSG00000089022
MARK1,CAMK,,,ENSG00000116141
MARK2,CAMK,,,ENSG00000072518
MARK3,CAMK,,,ENSG00000075413
MARK4,CAMK,,,ENSG00000007047
MAST1,AGC,,,ENSG00000105613
MAST2,AGC,,,ENSG00000086015
MAST3,AGC,,,ENSG00000099308
MAST4,AGC,,,ENSG00000069020
MASTL,AGC,,,ENSG00000120539
MELK,CAMK,,,ENSG00000165304
MER,TK,,,
MET,TK,,,ENSG00000105976
MINK,STE,,,
MISR2,TKL,,,
MLK1,TKL,,,
MLK2,TKL,,,
MLK3,TKL,,,
MLK4,TKL,,,
MLKL,TKL,,,ENSG00000168404
MNK1,CAMK,,,
MNK2,CAMK,,,
MOK,CMGC,,,ENSG00000080823
MOS,Other,,,ENSG00000172680
MPSK1,Other,,,
MRCKA,AGC,,,
MRCKB,AGC,,,
MSK1,AGC,,,
MSK1_B,CAMK,,,
MSK2,AGC,,,
MSK2_B,CAMK,,,
MSSK1,CMGC,,,
MST1,STE,,,ENSG00000173531
MST2,STE,,,
MST3,STE,,,
MST4,STE,,,
MUSK,TK,,,ENSG00000030304
MYO3A,STE,,,ENSG00000095777
MYO3B,STE,,,ENSG00000071909
MYT1,Other,,,ENSG00000196132
NDR1,AGC,,,
NDR2,AGC,,,
NEK1,Other,,,ENSG00000137601
NEK10,Other,,,ENSG00000163491
NEK11,Other,,,ENSG00000114670
NEK2,Other,,,ENSG00000117650
NEK3,Other,,,ENSG00000136098
NEK4,Other,,,ENSG00000114904
NEK5,Other,,,ENSG00000197168
NEK6,Other,,,ENSG00000119408
NEK7,Other,,,ENSG00000151414
NEK8,Other,,,ENSG00000160602
NEK9,Other,,,ENSG00000119638
NIK,STE,,,
NIM1,CAMK,,,
NLK,CMGC,,,ENSG00000087095
NRBP1,Other,,,ENSG00000115216
NRBP2,Other,,,ENSG00000185189
NRK,STE,,,ENSG00000123572
NUAK1,CAMK,,,ENSG00000074590
NUAK2,CAMK,,,ENSG00000163545
OBSCN,CAMK,,,ENSG00000154358
OBSCN_B,CAMK,,,
OSR1,STE,,,ENSG00000143867
P38A,CMGC,,,
P38B,CMGC,,,
P38D,CMGC,,,
P38G,CMGC,,,
P70S6K,AGC,,,
P70S6KB,AGC,,,
PAK1,STE,,,ENSG00000149269
PAK2,STE,,,ENSG00000180370
PAK3,STE,,,ENSG00000077264
PAK4,STE,,,ENSG00000130669
PAK5,STE,,,ENSG00000101349
PAK6,STE,,,ENSG00000137843
PAN3,Other,,,ENSG00000152520
PASK,CAMK,,,ENSG00000115687
PBK,Other,,,ENSG00000168078
PCTAIRE1,CMGC,,,
PCTAIRE2,CMGC,,,
PCTAIRE3,CMGC,,,
PDGFRA,TK,,,ENSG00000134853
PDGFRB,TK,,,ENSG00000113721
PDHK1,Atypical,,,
PDHK2,Atypical,,,
PDHK3,Atypical,,,
PDHK4,Atypical,,,
PDK1,AGC,,,ENSG00000152256
PEK,Other,,,
PFTAIRE1,CMGC,,,
PFTAIRE2,CMGC,,,
PHKG1,CAMK,,,ENSG00000164776
PHKG2,CAMK,,,ENSG00000156873
PIK3R4,Other,,,ENSG00000196455
PIM1,CAMK,,,ENSG00000137193
PIM2,CAMK,,,ENSG00000102096
PIM3,CAMK,,,ENSG00000198355
PINK1,Other,,,ENSG00000158828
PITSLRE,CMGC,,,
PKACA,AGC,,,
PKACB,AGC,,,
PKACG,AGC,,,
PKCA,AGC,,,
PKCB,AGC,,,
PKCD,AGC,,,
PKCE,AGC,,,
PKCG,AGC,,,
PKCH,AGC,,,
PKCI,AGC,,,
PKCT,AGC,,,
PKCZ,AGC,,,
PKD1,CAMK,,,ENSG00000008710
PKD2,CAMK,,,ENSG00000118762
PKD3,CAMK,,,
PKG1,AGC,,,
PKG2,AGC,,,
PKN1,AGC,,,ENSG00000123143
PKN2,AGC,,,ENSG00000065243
PKN3,AGC,,,ENSG00000160447
PKR,Other,,,
PLK1,Other,,,ENSG00000166851
PLK2,Other,,,ENSG00000145632
PLK3,Other,,,ENSG00000173846
PLK4,Other,,,ENSG00000142731
PRKX,AGC,,,ENSG00000183943
PRKY,AGC,,,ENSG00000099725
PRP4,CMGC,,,
PRPK,Other,,,
PSKH1,CAMK,,,ENSG00000159792
PSKH2,CAMK,,,ENSG00000147613
PYK2,TK,,,
QIK,CAMK,,,
QSK,CAMK,,,
RAF1,TKL,,,ENSG00000132155
RET,TK,,,ENSG00000165731
RHOK,AGC,,,
RIOK1,Atypical,,,ENSG00000124784
RIOK2,Atypical,,,ENSG00000058729
RIOK3,Atypical,,,ENSG00000101782
RIPK1,TKL,,,ENSG00000137275
RIPK2,TKL,,,ENSG00000104312
RIPK3,TKL,,,ENSG00000129465
RNASEL,Other,,,ENSG00000135828
ROCK1,AGC,,,ENSG00000067900
ROCK2,AGC,,,ENSG00000134318
RON,TK,,,
ROR1,TK,,,ENSG00000185483
ROR2,TK,,,ENSG00000169071
ROS,TK,,,
RSK1,AGC,,,
RSK1_B,CAMK,,,
RSK2,AGC,,,
RSK2_B,CAMK,,,
RSK3,AGC,,,
RSK3_B,CAMK,,,
RSK4,AGC,,,
RSK4_B,CAMK,,,
RSKL1,AGC,,,
RSKL2,AGC,,,
RYK,TK,,,ENSG00000163785
SBK,Other,,,
SCYL1,Other,,,ENSG00000142186
SCYL2,Other,,,ENSG00000136021
SCYL3,Other,,,ENSG00000000457
SGK069,Other,,,
SGK071,Other,,,
SGK085,CAMK,,,
SGK1,AGC,,,ENSG00000118515
SGK110,Other,,,
SGK196,Other,,,
SGK2,AGC,,,ENSG00000101049
SGK223,Other,,,
SGK269,Other,,,
SGK288,TKL,,,
SGK3,AGC,,,ENSG00000104205
SGK307,Other,,,
SGK396,Other,,,
SGK424,Other,,,
SGK493,Other,,,
SGK494,AGC,,,
SGK495,CAMK,,,
SGK496,Other,,,
SIK,CAMK,,,
SKMLCK,CAMK,,,
SLK,STE,,,ENSG00000065613
SLOB,Other,,,
SMG1,Atypical,,,ENSG00000157106
SMMLCK,CAMK,,,
SNRK,CAMK,,,ENSG00000163788
SPEG,CAMK,,,ENSG00000072195
SPEG_B,CAMK,,,
SRC,TK,,,ENSG00000197122
SRM,TK,,,ENSG00000116649
SRPK1,CMGC,,,ENSG00000096063
SRPK2,CMGC,,,ENSG00000135250
SSTK,CAMK,,,
STK33,CAMK,,,ENSG00000130413
STLK3,STE,,,
STLK5,STE,,,
STLK6,STE,,,
SURTK106,TK,,,
SYK,TK,,,ENSG00000165025
TAF1,Atypical,,,ENSG00000147133
TAF1L,Atypical,,,ENSG00000122728
TAK1,TKL,,,
TAO1,STE,,,
TAO2,STE,,,
TAO3,STE,,,
TBCK,Other,,,ENSG00000145348
TBK1,Other,,,ENSG00000183735
TEC,TK,,,ENSG00000135605
TESK1,TKL,,,ENSG00000107140
TESK2,TKL,,,ENSG00000070759
TGFBR1,TKL,,,ENSG00000106799
TGFBR2,TKL,,,ENSG00000163513
TIE1,TK,,,ENSG00000066056
TIE2,TK,,,
TIF1A,Atypical,,,
TIF1B,Atypical,,,
TIF1D,Atypical,,,
TIF1G,Atypical,,,
TLK1,Other,,,ENSG00000198586
TLK2,Other,,,ENSG00000146872
TNIK,STE,,,ENSG00000154310
TNK1,TK,,,ENSG00000174292
TRAD,CAMK,,,
TRB1,CAMK,,,
TRB2,CAMK,,,
TRB3,CAMK,,,
TRIO,CAMK,,,ENSG00000038382
TRKA,TK,,,
TRKB,TK,,,
TRKC,TK,,,
TRRAP,Atypical,,,ENSG00000196367
TSSK1,CAMK,,,
TSSK2,CAMK,,,ENSG00000206203
TSSK3,CAMK,,,ENSG00000162526
TSSK4,CAMK,,,ENSG00000139908
TTBK1,CK1,,,ENSG00000146216
TTBK2,CK1,,,ENSG00000128881
TTK,Other,,,ENSG00000112742
TTN,CAMK,,,ENSG00000155657
TXK,TK,,,ENSG00000074966
TYK2,TK,,,ENSG00000105397
TYK2_B,TK,,,
TYRO3,TK,,,ENSG00000092445
ULK1,Other,,,ENSG00000177169
ULK2,Other,,,ENSG00000083290
ULK3,Other,,,ENSG00000140474
ULK4,Other,,,ENSG00000168038
VACAMKL,CAMK,,,
VRK1,CK1,,,ENSG00000100749
VRK2,CK1,,,ENSG00000028116
VRK3,CK1,,,ENSG00000105053
WEE1,Other,,,ENSG00000166483
WEE1B,Other,,,
WNK1,Other,,,ENSG00000060237
WNK2,Other,,,ENSG00000165238
WNK3,Other,,,ENSG00000196632
WNK4,Other,,,ENSG00000126562
YANK1,AGC,,,
YANK2,AGC,,,
YANK3,AGC,,,
YES,TK,,,
YSK1,STE,,,
ZAK,TKL,,,
ZAP70,TK,,,ENSG00000115085
