"ensembl_gene_id","external_gene_name","description","Group name","Protein","Metabolic","Lipid","HGNC_ID","HGNC_gene_name","Manning_Group","Manning_Family","Manning_Subfamily","HGNC","Group","Family","SubFamily","kin_group","kh_group"
"ENSG00000165695","AK8","adenylate kinase 8","Adenylate kinases","Y","Y","N","HGNC:26526","AK8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000155085","AK9","adenylate kinase 9","Adenylate kinases","Y","Y","N","HGNC:33814","AK9",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000108599","AKAP10","A-kinase anchoring protein 10","A-kinase anchoring proteins","Y","N","N","HGNC:368","AKAP10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000147081","AKAP4","A-kinase anchoring protein 4","A-kinase anchoring proteins","Y","N","N","HGNC:374","AKAP4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000118507","AKAP7","A-kinase anchoring protein 7","A-kinase anchoring proteins","Y","N","N","HGNC:377","AKAP7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000011243","AKAP8L","A-kinase anchoring protein 8 like",NA,"N","N","N","HGNC:29857","AKAP8L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000142208","AKT1","AKT serine/threonine kinase 1","AKT kinase family","Y","Y","Y","HGNC:391","AKT1","AGC","AKT",NA,"AKT1","AGC",NA,NA,"AGC","AGC"
"ENSG00000105221","AKT2","AKT serine/threonine kinase 2","AKT kinase family","Y","Y","Y","HGNC:392","AKT2","AGC","AKT",NA,"AKT2","AGC",NA,NA,"AGC","AGC"
"ENSG00000117020","AKT3","AKT serine/threonine kinase 3","AKT kinase family","Y","Y","Y","HGNC:393","AKT3","AGC","AKT",NA,"AKT3","AGC",NA,NA,"AGC","AGC"
"ENSG00000059573","ALDH18A1","aldehyde dehydrogenase 18 family member A1",NA,"N","Y","N","HGNC:9722","ALDH18A1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000171094","ALK","ALK receptor tyrosine kinase","Receptor tyrosine kinases","Y","N","N","HGNC:427","ALK","TK","Alk",NA,"ALK","TK",NA,NA,"TK","TK"
"ENSG00000073331","ALPK1","alpha kinase 1",NA,"N","N","N","HGNC:20917","ALPK1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000198796","ALPK2","alpha kinase 2",NA,"N","N","N","HGNC:20565","ALPK2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000136383","ALPK3","alpha kinase 3",NA,"N","N","N","HGNC:17574","ALPK3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000135409","AMHR2","anti-Mullerian hormone receptor type 2","Type 2 receptor serine/threonine kinases","Y","N","N","HGNC:465","AMHR2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000170209","ANKK1","ankyrin repeat and kinase domain containing 1",NA,"N","N","N","HGNC:21027","ANKK1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000078061","ARAF","A-Raf proto-oncogene, serine/threonine kinase","Mitogen-activated protein kinase kinase kinases","Y","N","N","HGNC:646","ARAF","TKL","RAF",NA,"ARAF","TKL",NA,NA,"TKL","TKL"
"ENSG00000149311","ATM","ATM serine/threonine kinase",NA,"N","N","N","HGNC:795","ATM","Atypical","PIKK","ATM","ATM","Atypical",NA,NA,"Atypical","Atypical"
"ENSG00000175054","ATR","ATR serine/threonine kinase",NA,"N","N","N","HGNC:882","ATR","Atypical","PIKK","ATR","ATR","Atypical",NA,NA,"Atypical","Atypical"
"ENSG00000087586","AURKA","aurora kinase A","Aurora kinase family","Y","N","N","HGNC:11393","AURKA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000178999","AURKB","aurora kinase B","Aurora kinase family","Y","N","N","HGNC:11390","AURKB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000105146","AURKC","aurora kinase C","Aurora kinase family","Y","N","N","HGNC:11391","AURKC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000101200","AVP","arginine vasopressin",NA,"N","N","N","HGNC:894","AVP",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000167601","AXL","AXL receptor tyrosine kinase","Receptor tyrosine kinases","Y","N","N","HGNC:905","AXL","TK","Axl",NA,"AXL","TK",NA,NA,"TK","TK"
"ENSG00000009954","BAZ1B","bromodomain adjacent to zinc finger domain 1B",NA,"N","N","N","HGNC:961","BAZ1B",NA,NA,NA,"BAZ1B","Atypical",NA,NA,NA,"Atypical"
"ENSG00000103507","BCKDK","branched chain keto acid dehydrogenase kinase",NA,"N","N","N","HGNC:16902","BCKDK","Atypical","PDHK",NA,"BCKDK","Atypical",NA,NA,"Atypical","Atypical"
"ENSG00000186716","BCR","BCR activator of RhoGEF and GTPase",NA,"N","N","N","HGNC:1014","BCR","Atypical","BCR",NA,"BCR","Atypical",NA,NA,"Atypical","Atypical"
"ENSG00000183092","BEGAIN","brain enriched guanylate kinase associated",NA,"N","N","N","HGNC:24163","BEGAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000136573","BLK","BLK proto-oncogene, Src family tyrosine kinase","Src family tyrosine kinases","Y","N","N","HGNC:1057","BLK","TK","Src",NA,"BLK","TK",NA,NA,"TK","TK"
"ENSG00000106605","BLVRA","biliverdin reductase A",NA,"N","Y","N","HGNC:1062","BLVRA",NA,NA,NA,"BLVRA","Atypical",NA,NA,NA,"Atypical"
"ENSG00000138756","BMP2K","BMP2 inducible kinase",NA,"N","N","N","HGNC:18041","BMP2K",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000107779","BMPR1A","bone morphogenetic protein receptor type 1A","Type 1 receptor serine/threonine kinases","Y","N","N","HGNC:1076","BMPR1A","TKL","STKR","Type1","BMPR1A","TKL",NA,NA,"TKL","TKL"
"ENSG00000138696","BMPR1B","bone morphogenetic protein receptor type 1B","Type 1 receptor serine/threonine kinases","Y","N","N","HGNC:1077","BMPR1B","TKL","STKR","Type1","BMPR1B","TKL",NA,NA,"TKL","TKL"
"ENSG00000204217","BMPR2","bone morphogenetic protein receptor type 2","Type 2 receptor serine/threonine kinases","Y","N","N","HGNC:1078","BMPR2","TKL","STKR","Type2","BMPR2","TKL",NA,NA,"TKL","TKL"
"ENSG00000102010","BMX","BMX non-receptor tyrosine kinase","Tec family tyrosine kinases","Y","N","N","HGNC:1079","BMX","TK","Tec",NA,"BMX","TK",NA,NA,"TK","TK"
"ENSG00000157764","BRAF","B-Raf proto-oncogene, serine/threonine kinase","Mitogen-activated protein kinase kinase kinases","Y","N","N","HGNC:1097","BRAF","TKL","RAF",NA,"BRAF","TKL",NA,NA,"TKL","TKL"
"ENSG00000204256","BRD2","bromodomain containing 2",NA,"N","N","N","HGNC:1103","BRD2","Atypical","BRD",NA,"BRD2","Atypical",NA,NA,"Atypical","Atypical"
"ENSG00000169925","BRD3","bromodomain containing 3",NA,"N","N","N","HGNC:1104","BRD3","Atypical","BRD",NA,"BRD3","Atypical",NA,NA,"Atypical","Atypical"
"ENSG00000141867","BRD4","bromodomain containing 4",NA,"N","N","N","HGNC:13575","BRD4","Atypical","BRD",NA,"BRD4","Atypical",NA,NA,"Atypical","Atypical"
"ENSG00000137948","BRDT","bromodomain testis associated",NA,"N","N","N","HGNC:1105","BRDT","Atypical","BRD",NA,"BRDT","Atypical",NA,NA,"Atypical","Atypical"
"ENSG00000160469","BRSK1","BR serine/threonine kinase 1","BR serine/threonine kinases","Y","N","N","HGNC:18994","BRSK1","CAMK","CAMKL","BRSK","BRSK1","CAMK",NA,NA,"CAMK","CAMK"
"ENSG00000174672","BRSK2","BR serine/threonine kinase 2","BR serine/threonine kinases","Y","N","N","HGNC:11405","BRSK2","CAMK","CAMKL","BRSK","BRSK2","CAMK",NA,NA,"CAMK","CAMK"
"ENSG00000010671","BTK","Bruton tyrosine kinase","Tec family tyrosine kinases","Y","N","N","HGNC:1133","BTK","TK","Tec",NA,"BTK","TK",NA,NA,"TK","TK"
"ENSG00000169679","BUB1","BUB1 mitotic checkpoint serine/threonine kinase","BUB1 mitotic checkpoint serine/threonine kinase family","Y","N","N","HGNC:1148","BUB1","Other","BUB",NA,"BUB1","Other",NA,NA,"Other","Other"
"ENSG00000156970","BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B","BUB1 mitotic checkpoint serine/threonine kinase family","Y","N","N","HGNC:1149","BUB1B","Other","BUB",NA,NA,NA,NA,NA,"Other",NA
"ENSG00000288602","C8orf44-SGK3","C8orf44-SGK3 readthrough",NA,"N","N","N","HGNC:48354","C8orf44-SGK3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000084774","CAD","carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",NA,"N","Y","N","HGNC:1424","CAD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000198668","CALM1","calmodulin 1","Phosphorylase kinase subunits","Y","N","Y","HGNC:1442","CALM1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000143933","CALM2","calmodulin 2","Phosphorylase kinase subunits","Y","N","Y","HGNC:1445","CALM2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000160014","CALM3","calmodulin 3","Phosphorylase kinase subunits","Y","N","Y","HGNC:1449","CALM3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000134072","CAMK1","calcium/calmodulin dependent protein kinase I",NA,"N","N","N","HGNC:1459","CAMK1","CAMK","CAMK1",NA,NA,NA,NA,NA,"CAMK",NA
"ENSG00000183049","CAMK1D","calcium/calmodulin dependent protein kinase ID",NA,"N","N","N","HGNC:19341","CAMK1D","CAMK","CAMK1",NA,"CAMK1D","CAMK",NA,NA,"CAMK","CAMK"
"ENSG00000008118","CAMK1G","calcium/calmodulin dependent protein kinase IG",NA,"N","N","N","HGNC:14585","CAMK1G","CAMK","CAMK1",NA,"CAMK1G","CAMK",NA,NA,"CAMK","CAMK"
"ENSG00000070808","CAMK2A","calcium/calmodulin dependent protein kinase II alpha",NA,"N","N","Y","HGNC:1460","CAMK2A","CAMK","CAMK2",NA,"CAMK2A","CAMK",NA,NA,"CAMK","CAMK"
"ENSG00000058404","CAMK2B","calcium/calmodulin dependent protein kinase II beta",NA,"N","N","Y","HGNC:1461","CAMK2B","CAMK","CAMK2",NA,"CAMK2B","CAMK",NA,NA,"CAMK","CAMK"
"ENSG00000145349","CAMK2D","calcium/calmodulin dependent protein kinase II delta",NA,"N","N","Y","HGNC:1462","CAMK2D","CAMK","CAMK2",NA,"CAMK2D","CAMK",NA,NA,"CAMK","CAMK"
"ENSG00000148660","CAMK2G","calcium/calmodulin dependent protein kinase II gamma",NA,"N","N","Y","HGNC:1463","CAMK2G","CAMK","CAMK2",NA,"CAMK2G","CAMK",NA,NA,"CAMK","CAMK"
"ENSG00000152495","CAMK4","calcium/calmodulin dependent protein kinase IV",NA,"N","N","N","HGNC:1464","CAMK4","CAMK","CAMK1",NA,"CAMK4","CAMK",NA,NA,"CAMK","CAMK"
"ENSG00000004660","CAMKK1","calcium/calmodulin dependent protein kinase kinase 1",NA,"N","N","N","HGNC:1469","CAMKK1","Other","CAMKK","Meta","CAMKK1","Other",NA,NA,"Other","Other"
"ENSG00000110931","CAMKK2","calcium/calmodulin dependent protein kinase kinase 2",NA,"N","N","N","HGNC:1470","CAMKK2","Other","CAMKK","Meta","CAMKK2","Other",NA,NA,"Other","Other"
"ENSG00000164076","CAMKV","CaM kinase like vesicle associated",NA,"N","N","N","HGNC:28788","CAMKV",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000147044","CASK","calcium/calmodulin dependent serine protein kinase","Membrane associated guanylate kinases","Y","N","N","HGNC:1497","CASK","CAMK","CASK",NA,"CASK","CAMK",NA,NA,"CAMK","CAMK"
"ENSG00000108691","CCL2","C-C motif chemokine ligand 2",NA,"N","N","Y","HGNC:10618","CCL2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000274221","CCL3","C-C motif chemokine ligand 3",NA,"N","N","Y","HGNC:10627","CCL3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000271503","CCL5","C-C motif chemokine ligand 5",NA,"N","N","Y","HGNC:10632","CCL5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000108700","CCL8","C-C motif chemokine ligand 8",NA,"N","N","N","HGNC:10635","CCL8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000110092","CCND1","cyclin D1",NA,"N","N","N","HGNC:1582","CCND1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000105173","CCNE1","cyclin E1",NA,"N","N","N","HGNC:1589","CCNE1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000134480","CCNH","cyclin H","CDK activating kinase complex","Y","N","N","HGNC:1594","CCNH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000143776","CDC42BPA","CDC42 binding protein kinase alpha","CDC42 binding protein kinase family","Y","N","N","HGNC:1737","CDC42BPA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000198752","CDC42BPB","CDC42 binding protein kinase beta","CDC42 binding protein kinase family","Y","N","N","HGNC:1738","CDC42BPB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000171219","CDC42BPG","CDC42 binding protein kinase gamma","CDC42 binding protein kinase family","Y","N","N","HGNC:29829","CDC42BPG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000097046","CDC7","cell division cycle 7","CDC7 kinase family","Y","N","N","HGNC:1745","CDC7","Other","CDC7",NA,"CDC7","Other",NA,NA,"Other","Other"
"ENSG00000170312","CDK1","cyclin dependent kinase 1","Cyclin dependent kinases","Y","N","N","HGNC:1722","CDK1","CMGC","CDK","CDK10",NA,NA,NA,NA,"CMGC",NA
"ENSG00000185324","CDK10","cyclin dependent kinase 10","Cyclin dependent kinases","Y","N","N","HGNC:1770","CDK10","CMGC","CDK","CDK10","CDK10","CMGC",NA,NA,"CMGC","CMGC"
"ENSG00000008128","CDK11A","cyclin dependent kinase 11A","Cyclin dependent kinases","Y","N","N","HGNC:1730","CDK11A","CMGC","CDK","CDK8",NA,NA,NA,NA,"CMGC",NA
"ENSG00000248333","CDK11B","cyclin dependent kinase 11B","Cyclin dependent kinases","Y","N","N","HGNC:1729","CDK11B","CMGC","CDK","CDK8",NA,NA,NA,NA,"CMGC",NA
"ENSG00000167258","CDK12","cyclin dependent kinase 12","Cyclin dependent kinases","Y","N","N","HGNC:24224","CDK12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000065883","CDK13","cyclin dependent kinase 13","Cyclin dependent kinases","Y","N","N","HGNC:1733","CDK13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000058091","CDK14","cyclin dependent kinase 14","Cyclin dependent kinases","Y","N","N","HGNC:8883","CDK14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000138395","CDK15","cyclin dependent kinase 15","Cyclin dependent kinases","Y","N","N","HGNC:14434","CDK15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000102225","CDK16","cyclin dependent kinase 16","Cyclin dependent kinases","Y","N","N","HGNC:8749","CDK16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000059758","CDK17","cyclin dependent kinase 17","Cyclin dependent kinases","Y","N","N","HGNC:8750","CDK17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000117266","CDK18","cyclin dependent kinase 18","Cyclin dependent kinases","Y","N","N","HGNC:8751","CDK18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000155111","CDK19","cyclin dependent kinase 19","Cyclin dependent kinases","Y","N","N","HGNC:19338","CDK19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000123374","CDK2","cyclin dependent kinase 2","Cyclin dependent kinases","Y","N","N","HGNC:1771","CDK2","CMGC","CDK","CDC2","CDK2","CMGC",NA,NA,"CMGC","CMGC"
"ENSG00000156345","CDK20","cyclin dependent kinase 20","Cyclin dependent kinases","Y","N","N","HGNC:21420","CDK20","CMGC","CDK","CDC2",NA,NA,NA,NA,"CMGC",NA
"ENSG00000167797","CDK2AP2","cyclin dependent kinase 2 associated protein 2",NA,"N","N","N","HGNC:30833","CDK2AP2","CMGC","CDK","CDC2",NA,NA,NA,NA,"CMGC",NA
"ENSG00000250506","CDK3","cyclin dependent kinase 3","Cyclin dependent kinases","Y","N","N","HGNC:1772","CDK3","CMGC","CDK","CDC2","CDK3","CMGC",NA,NA,"CMGC","CMGC"
"ENSG00000135446","CDK4","cyclin dependent kinase 4","Cyclin dependent kinases","Y","N","N","HGNC:1773","CDK4","CMGC","CDK","CDK4","CDK4","CMGC",NA,NA,"CMGC","CMGC"
"ENSG00000164885","CDK5","cyclin dependent kinase 5","Cyclin dependent kinases","Y","N","N","HGNC:1774","CDK5","CMGC","CDK","CDK5","CDK5","CMGC",NA,NA,"CMGC","CMGC"
"ENSG00000176749","CDK5R1","cyclin dependent kinase 5 regulatory subunit 1",NA,"N","N","N","HGNC:1775","CDK5R1","CMGC","CDK","CDK5",NA,NA,NA,NA,"CMGC",NA
"ENSG00000105810","CDK6","cyclin dependent kinase 6","Cyclin dependent kinases","Y","N","N","HGNC:1777","CDK6","CMGC","CDK","CDK4","CDK6","CMGC",NA,NA,"CMGC","CMGC"
"ENSG00000134058","CDK7","cyclin dependent kinase 7","CDK activating kinase complex","Y","N","N","HGNC:1778","CDK7","CMGC","CDK","CDK7","CDK7","CMGC",NA,NA,"CMGC","CMGC"
"ENSG00000132964","CDK8","cyclin dependent kinase 8","Cyclin dependent kinases","Y","N","N","HGNC:1779","CDK8","CMGC","CDK","CDK8","CDK8","CMGC",NA,NA,"CMGC","CMGC"
"ENSG00000136807","CDK9","cyclin dependent kinase 9","Cyclin dependent kinases","Y","N","N","HGNC:1780","CDK9","CMGC","CDK","CDK9","CDK9","CMGC",NA,NA,"CMGC","CMGC"
"ENSG00000100490","CDKL1","cyclin dependent kinase like 1","Cyclin dependent kinases","Y","N","N","HGNC:1781","CDKL1","CMGC","CDKL",NA,"CDKL1","CMGC",NA,NA,"CMGC","CMGC"
"ENSG00000138769","CDKL2","cyclin dependent kinase like 2","Cyclin dependent kinases","Y","N","N","HGNC:1782","CDKL2","CMGC","CDKL",NA,"CDKL2","CMGC",NA,NA,"CMGC","CMGC"
"ENSG00000006837","CDKL3","cyclin dependent kinase like 3","Cyclin dependent kinases","Y","N","N","HGNC:15483","CDKL3","CMGC","CDKL",NA,"CDKL3","CMGC",NA,NA,"CMGC","CMGC"
"ENSG00000205111","CDKL4","cyclin dependent kinase like 4","Cyclin dependent kinases","Y","N","N","HGNC:19287","CDKL4","CMGC","CDKL",NA,"CDKL4","CMGC",NA,NA,"CMGC","CMGC"
"ENSG00000008086","CDKL5","cyclin dependent kinase like 5","Cyclin dependent kinases","Y","N","N","HGNC:11411","CDKL5","CMGC","CDKL",NA,"CDKL5","CMGC",NA,NA,"CMGC","CMGC"
"ENSG00000100422","CERK","ceramide kinase",NA,"N","Y","Y","HGNC:19256","CERK",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000188452","CERKL","CERK like autophagy regulator",NA,"N","N","N","HGNC:21699","CERKL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000113163","CERT1","ceramide transporter 1",NA,"N","N","N","HGNC:2205","CERT1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000149554","CHEK1","checkpoint kinase 1","Checkpoint kinase 1 family","Y","N","N","HGNC:1925","CHEK1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000183765","CHEK2","checkpoint kinase 2","Checkpoint kinase 2 family","Y","N","N","HGNC:16627","CHEK2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000110721","CHKA","choline kinase alpha","Choline kinase family","Y","Y","Y","HGNC:1937","CHKA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000100288","CHKB","choline kinase beta","Choline kinase family","Y","Y","Y","HGNC:1938","CHKB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000213341","CHUK","component of inhibitor of nuclear factor kappa B kinase complex","I kappa B kinases","Y","N","Y","HGNC:1974","CHUK",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000179583","CIITA","class II major histocompatibility complex transactivator",NA,"N","N","N","HGNC:7067","CIITA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000112144","CILK1","ciliogenesis associated kinase 1","CILK1, MAK, MOK protein kinase family","Y","N","N","HGNC:21219","CILK1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000122966","CIT","citron rho-interacting serine/threonine kinase","DMPK kinase family","Y","N","N","HGNC:1985","CIT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000166165","CKB","creatine kinase B","Creatine kinase family","Y","Y","N","HGNC:1991","CKB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000104879","CKM","creatine kinase, M-type","Creatine kinase family","Y","Y","N","HGNC:1994","CKM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000223572","CKMT1A","creatine kinase, mitochondrial 1A","Creatine kinase family","Y","Y","N","HGNC:31736","CKMT1A",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000237289","CKMT1B","creatine kinase, mitochondrial 1B","Creatine kinase family","Y","Y","N","HGNC:1995","CKMT1B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000131730","CKMT2","creatine kinase, mitochondrial 2","Creatine kinase family","Y","Y","N","HGNC:1996","CKMT2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000173207","CKS1B","CDC28 protein kinase regulatory subunit 1B",NA,"N","N","N","HGNC:19083","CKS1B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000013441","CLK1","CDC like kinase 1","CDC like kinases","Y","N","N","HGNC:2068","CLK1","CMGC","CLK",NA,"CLK1","CMGC",NA,NA,"CMGC","CMGC"
"ENSG00000176444","CLK2","CDC like kinase 2","CDC like kinases","Y","N","N","HGNC:2069","CLK2","CMGC","CLK",NA,"CLK2","CMGC",NA,NA,"CMGC","CMGC"
"ENSG00000179335","CLK3","CDC like kinase 3","CDC like kinases","Y","N","N","HGNC:2071","CLK3","CMGC","CLK",NA,"CLK3","CMGC",NA,NA,"CMGC","CMGC"
"ENSG00000113240","CLK4","CDC like kinase 4","CDC like kinases","Y","N","N","HGNC:13659","CLK4","CMGC","CLK",NA,"CLK4","CMGC",NA,NA,"CMGC","CMGC"
"ENSG00000172409","CLP1","cleavage factor polyribonucleotide kinase subunit 1",NA,"N","N","N","HGNC:16999","CLP1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000162368","CMPK1","cytidine/uridine monophosphate kinase 1",NA,"N","Y","N","HGNC:18170","CMPK1",NA,NA,NA,NA,NA,NA,NA,NA,NA
