kinase_id,HGNC_symbol,HGNC_ID,Name_hgnc,Is_phosphatase,Is_kinase_regulator,Is_anchoring_protein,Is_pseudokinase,Substrate_protein,Substrate_lipid,Substrate_nucleotide,Substrate_carbohydrate,Substrate_other,Group_hgnc,Group_ID_hgnc,Status_hgnc,Locus_type_hgnc,kinase_id_manning,manning_name,Group_manning,Family_manning,SubFamily_manning,Pseudogene_manning,Novelty_manning,InManning,Group_kinhub,Family_kinhub,SubFamily_kinhub,UniProt_kinhub,InKinHub,Group_match_manning_kinhub,Family_match_manning_kinhub,Group_consensus,Family_consensus,Metabolic_kegg,Lipid_kegg,Mouse_Symbol,Ensembl_Mouse
K0021,AKAP10,HGNC:368,A-kinase anchoring protein 10,N,N,Y,N,N,N,N,N,N,A-kinase anchoring proteins,396,Approved,gene with protein product,,,,,,,,N,,,,,N,,,A-kinase anchoring proteins,A-kinase anchoring proteins,N,N,Akap10,ENSMUSG00000047804
K0022,AKAP11,HGNC:369,A-kinase anchoring protein 11,N,N,Y,N,N,N,N,N,N,A-kinase anchoring proteins,396,Approved,gene with protein product,,,,,,,,N,,,,,N,,,A-kinase anchoring proteins,A-kinase anchoring proteins,N,N,Akap11,ENSMUSG00000022016
K0023,AKAP12,HGNC:370,A-kinase anchoring protein 12,N,N,Y,N,N,N,N,N,N,A-kinase anchoring proteins,396,Approved,gene with protein product,,,,,,,,N,,,,,N,,,A-kinase anchoring proteins,A-kinase anchoring proteins,N,N,Akap12,ENSMUSG00000038587
K0024,AKAP13,HGNC:371,A-kinase anchoring protein 13,N,N,Y,N,N,N,N,N,N,A-kinase anchoring proteins,396,Approved,gene with protein product,,,,,,,,N,,,,,N,,,A-kinase anchoring proteins,A-kinase anchoring proteins,N,N,Akap13,ENSMUSG00000066406
K0025,AKAP14,HGNC:24061,A-kinase anchoring protein 14,N,N,Y,N,N,N,N,N,N,A-kinase anchoring proteins,396,Approved,gene with protein product,,,,,,,,N,,,,,N,,,A-kinase anchoring proteins,A-kinase anchoring proteins,N,N,Akap14,ENSMUSG00000036551
K0026,AKAP17A,HGNC:18783,A-kinase anchoring protein 17A,N,N,Y,N,N,N,N,N,N,A-kinase anchoring proteins,396,Approved,gene with protein product,,,,,,,,N,,,,,N,,,A-kinase anchoring proteins,A-kinase anchoring proteins,N,N,Akap17a,ENSMUSG00000121606
K0027,AKAP17BP,HGNC:38514,"A-kinase anchoring protein 17B, pseudogene",N,N,Y,N,N,N,N,N,N,A-kinase anchoring proteins,396,Approved,pseudogene,,,,,,,,N,,,,,N,,,A-kinase anchoring proteins,A-kinase anchoring proteins,N,N,,
K0028,AKAP19,HGNC:28191,A-kinase anchoring protein 19,N,N,Y,N,N,N,N,N,N,A-kinase anchoring proteins,396,Approved,gene with protein product,,,,,,,,N,,,,,N,,,A-kinase anchoring proteins,A-kinase anchoring proteins,N,N,,
K0029,AKAP2,HGNC:372,A-kinase anchoring protein 2,N,N,Y,N,N,N,N,N,N,A-kinase anchoring proteins,396,Approved,complex locus constituent,,,,,,,,N,,,,,N,,,A-kinase anchoring proteins,A-kinase anchoring proteins,N,N,,
K0030,AKAP3,HGNC:373,A-kinase anchoring protein 3,N,N,Y,N,N,N,N,N,N,A-kinase anchoring proteins,396,Approved,gene with protein product,,,,,,,,N,,,,,N,,,A-kinase anchoring proteins,A-kinase anchoring proteins,N,N,Akap3,ENSMUSG00000030344
K0031,AKAP4,HGNC:374,A-kinase anchoring protein 4,N,N,Y,N,N,N,N,N,N,A-kinase anchoring proteins,396,Approved,gene with protein product,,,,,,,,N,,,,,N,,,A-kinase anchoring proteins,A-kinase anchoring proteins,N,N,Akap4,ENSMUSG00000050089
K0032,AKAP5,HGNC:375,A-kinase anchoring protein 5,N,N,Y,N,N,N,N,N,N,A-kinase anchoring proteins,396,Approved,gene with protein product,,,,,,,,N,,,,,N,,,A-kinase anchoring proteins,A-kinase anchoring proteins,N,N,Akap5,ENSMUSG00000021057
K0033,AKAP6,HGNC:376,A-kinase anchoring protein 6,N,N,Y,N,N,N,N,N,N,A-kinase anchoring proteins,396,Approved,gene with protein product,,,,,,,,N,,,,,N,,,A-kinase anchoring proteins,A-kinase anchoring proteins,N,N,Akap6,ENSMUSG00000061603
K0034,AKAP7,HGNC:377,A-kinase anchoring protein 7,N,N,Y,N,N,N,N,N,N,A-kinase anchoring proteins,396,Approved,gene with protein product,,,,,,,,N,,,,,N,,,A-kinase anchoring proteins,A-kinase anchoring proteins,N,N,Akap7,ENSMUSG00000039166
K0035,AKAP8,HGNC:378,A-kinase anchoring protein 8,N,N,Y,N,N,N,N,N,N,A-kinase anchoring proteins,396,Approved,gene with protein product,,,,,,,,N,,,,,N,,,A-kinase anchoring proteins,A-kinase anchoring proteins,N,N,Akap8,ENSMUSG00000024045
K0036,AKAP9,HGNC:379,A-kinase anchoring protein 9,N,N,Y,N,N,N,N,N,N,A-kinase anchoring proteins,396,Approved,gene with protein product,,,,,,,,N,,,,,N,,,A-kinase anchoring proteins,A-kinase anchoring proteins,N,N,Akap9,ENSMUSG00000040407
K0037,AKT1,HGNC:391,AKT serine/threonine kinase 1,N,N,N,N,Y,N,N,N,N,AKT kinase family,1900,Approved,gene with protein product,SK018,AKT1,AGC,AKT,"",N,Known - Literature,Y,AGC,Akt,"",P31749,Y,TRUE,TRUE,AGC,AKT,Y,Y,Akt1,ENSMUSG00000001729
K0038,AKT2,HGNC:392,AKT serine/threonine kinase 2,N,N,N,N,Y,N,N,N,N,AKT kinase family,1900,Approved,gene with protein product,SK019,AKT2,AGC,AKT,"",N,Known - Literature,Y,AGC,Akt,"",P31751,Y,TRUE,TRUE,AGC,AKT,Y,Y,Akt2,ENSMUSG00000004056
K0039,AKT3,HGNC:393,AKT serine/threonine kinase 3,N,N,N,N,Y,N,N,N,N,AKT kinase family,1900,Approved,gene with protein product,SK020,AKT3,AGC,AKT,"",N,Known - Literature,Y,AGC,Akt,"",Q9Y243,Y,TRUE,TRUE,AGC,AKT,Y,Y,Akt3,ENSMUSG00000019699
K0040,ALK,HGNC:427,ALK receptor tyrosine kinase,N,N,N,N,Y,N,N,N,N,Receptor tyrosine kinases,321,Approved,gene with protein product,SK024,ALK,TK,Alk,"",N,Known - Refseq,Y,TK,ALK,"",Q9UM73,Y,TRUE,TRUE,TK,Alk,N,N,Alk,ENSMUSG00000055471
K0041,AMHR2,HGNC:465,anti-Mullerian hormone receptor type 2,N,N,N,N,Y,N,N,N,N,Type 2 receptor serine/threonine kinases,346,Approved,gene with protein product,SK228,,TKL,STKR,Type2,N,Known - Literature,Y,TKL,STKR,STKR2,Q16671,Y,TRUE,TRUE,TKL,STKR,N,N,Amhr2,ENSMUSG00000023047
K0042,ARAF,HGNC:646,"A-Raf proto-oncogene, serine/threonine kinase",N,N,N,N,Y,N,N,N,N,Mitogen-activated protein kinase kinase kinases,654,Approved,gene with protein product,SK036,ARAF,TKL,RAF,"",N,Known - Literature,Y,TKL,RAF,"",P10398,Y,TRUE,TRUE,TKL,RAF,N,N,Araf,ENSMUSG00000001127
K0043,ARFGEF2,HGNC:15853,ARF guanine nucleotide exchange factor 2,N,N,Y,N,N,N,N,N,N,A-kinase anchoring proteins,396,Approved,gene with protein product,,,,,,,,N,,,,,N,,,A-kinase anchoring proteins,A-kinase anchoring proteins,N,N,Arfgef2,ENSMUSG00000074582
K0044,AURKA,HGNC:11393,aurora kinase A,N,N,N,N,Y,N,N,N,N,Aurora kinase family,3413,Approved,gene with protein product,SK407,,Other,AUR,"",N,Known - Literature,Y,Other,Aur,"",O14965,Y,TRUE,TRUE,Other,AUR,N,N,Aurka,ENSMUSG00000027496
K0045,AURKB,HGNC:11390,aurora kinase B,N,N,N,N,Y,N,N,N,N,Aurora kinase family,3413,Approved,gene with protein product,SK406,,Other,AUR,"",N,Known - Refseq,Y,Other,Aur,"",Q96GD4,Y,TRUE,TRUE,Other,AUR,N,N,Aurkb,ENSMUSG00000020897
K0046,AURKC,HGNC:11391,aurora kinase C,N,N,N,N,Y,N,N,N,N,Aurora kinase family,3413,Approved,gene with protein product,SK043,,Other,AUR,"",N,Known - Refseq,Y,Other,Aur,"",Q9UQB9,Y,TRUE,TRUE,Other,AUR,N,N,Aurkc,ENSMUSG00000070837
K0047,AXL,HGNC:905,AXL receptor tyrosine kinase,N,N,N,N,Y,N,N,N,N,Receptor tyrosine kinases,321,Approved,gene with protein product,SK044,AXL,TK,Axl,"",N,Known - Literature,Y,TK,Axl,"",P30530,Y,TRUE,TRUE,TK,Axl,N,N,Axl,ENSMUSG00000002602
K0048,BLK,HGNC:1057,"BLK proto-oncogene, Src family tyrosine kinase",N,N,N,N,Y,N,N,N,N,Src family tyrosine kinases,1388,Approved,gene with protein product,SK049,BLK,TK,Src,"",N,Known - Literature,Y,TK,Src,"",P51451,Y,TRUE,TRUE,TK,Src,N,N,Blk,ENSMUSG00000014453
K0049,BMPR1A,HGNC:1076,bone morphogenetic protein receptor type 1A,N,N,N,N,Y,N,N,N,N,Type 1 receptor serine/threonine kinases,345,Approved,gene with protein product,SK027,BMPR1A,TKL,STKR,Type1,N,Known - Literature,Y,TKL,STKR,STKR1,P36894,Y,TRUE,TRUE,TKL,STKR,N,N,Bmpr1a,ENSMUSG00000021796
K0050,BMPR1B,HGNC:1077,bone morphogenetic protein receptor type 1B,N,N,N,N,Y,N,N,N,N,Type 1 receptor serine/threonine kinases,345,Approved,gene with protein product,SK030,BMPR1B,TKL,STKR,Type1,N,Known - Literature,Y,TKL,STKR,STKR1,O00238,Y,TRUE,TRUE,TKL,STKR,N,N,Bmpr1b,ENSMUSG00000052430
K0051,BMPR2,HGNC:1078,bone morphogenetic protein receptor type 2,N,N,N,N,Y,N,N,N,N,Type 2 receptor serine/threonine kinases,346,Approved,gene with protein product,SK365,BMPR2,TKL,STKR,Type2,N,Known - Literature,Y,TKL,STKR,STKR2,Q13873,Y,TRUE,TRUE,TKL,STKR,N,N,Bmpr2,ENSMUSG00000067336
K0052,BMX,HGNC:1079,BMX non-receptor tyrosine kinase,N,N,N,N,Y,N,N,N,N,Tec family tyrosine kinases,1457,Approved,gene with protein product,SK417,BMX,TK,Tec,"",N,Known - Literature,Y,TK,Tec,"",P51813,Y,TRUE,TRUE,TK,Tec,N,N,Bmx,ENSMUSG00000031377
K0053,BRAF,HGNC:1097,"B-Raf proto-oncogene, serine/threonine kinase",N,N,N,N,Y,N,N,N,N,Mitogen-activated protein kinase kinase kinases,654,Approved,gene with protein product,SK050,BRAF,TKL,RAF,"",N,Known - Literature,Y,TKL,RAF,"",P15056,Y,TRUE,TRUE,TKL,RAF,N,N,Braf,ENSMUSG00000002413
K0054,BRSK1,HGNC:18994,BR serine/threonine kinase 1,N,N,N,N,Y,N,N,N,N,BR serine/threonine kinases,2135,Approved,gene with protein product,SK598,BRSK1,CAMK,CAMKL,BRSK,N,Novel,Y,CAMK,CAMKL,BRSK,Q8TDC3,Y,TRUE,TRUE,CAMK,CAMKL,N,N,Brsk1,ENSMUSG00000035390
K0055,BRSK2,HGNC:11405,BR serine/threonine kinase 2,N,N,N,N,Y,N,N,N,N,BR serine/threonine kinases,2135,Approved,gene with protein product,SK015,BRSK2,CAMK,CAMKL,BRSK,N,Known - Genbank,Y,CAMK,CAMKL,BRSK,Q8IWQ3,Y,TRUE,TRUE,CAMK,CAMKL,N,N,Brsk2,ENSMUSG00000053046
K0056,BTK,HGNC:1133,Bruton tyrosine kinase,N,N,N,N,Y,N,N,N,N,Tec family tyrosine kinases,1457,Approved,gene with protein product,SK052,BTK,TK,Tec,"",N,Known - Literature,Y,TK,Tec,"",Q06187,Y,TRUE,TRUE,TK,Tec,N,N,Btk,ENSMUSG00000031264
K0057,BUB1,HGNC:1148,BUB1 mitotic checkpoint serine/threonine kinase,N,N,N,N,Y,N,N,N,N,BUB1 mitotic checkpoint serine/threonine kinase family,3564,Approved,gene with protein product,SK409,BUB1,Other,BUB,"",N,Known - Literature,Y,Other,BUB,"",O43683,Y,TRUE,TRUE,Other,BUB,N,N,Bub1,ENSMUSG00000027379
K0058,BUB1B,HGNC:1149,BUB1 mitotic checkpoint serine/threonine kinase B,N,N,N,N,Y,N,N,N,N,BUB1 mitotic checkpoint serine/threonine kinase family,3564,Approved,gene with protein product,SK053,,Other,BUB,"",N,Known - Literature,Y,Other,BUB,"",O60566,Y,TRUE,TRUE,Other,BUB,N,N,Bub1b,ENSMUSG00000040084
K0059,CACNB1,HGNC:1401,calcium voltage-gated channel auxiliary subunit beta 1,N,N,N,Y,N,N,N,N,N,Membrane associated guanylate kinases,904,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Membrane associated guanylate kinases,Membrane associated guanylate kinases,N,N,Cacnb1,ENSMUSG00000020882
K0060,CACNB2,HGNC:1402,calcium voltage-gated channel auxiliary subunit beta 2,N,N,N,Y,N,N,N,N,N,Membrane associated guanylate kinases,904,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Membrane associated guanylate kinases,Membrane associated guanylate kinases,N,N,Cacnb2,ENSMUSG00000057914
K0061,CACNB3,HGNC:1403,calcium voltage-gated channel auxiliary subunit beta 3,N,N,N,Y,N,N,N,N,N,Membrane associated guanylate kinases,904,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Membrane associated guanylate kinases,Membrane associated guanylate kinases,N,N,Cacnb3,ENSMUSG00000003352
K0062,CACNB4,HGNC:1404,calcium voltage-gated channel auxiliary subunit beta 4,N,N,N,Y,N,N,N,N,N,Membrane associated guanylate kinases,904,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Membrane associated guanylate kinases,Membrane associated guanylate kinases,N,N,Cacnb4,ENSMUSG00000017412
K0063,CALM1,HGNC:1442,calmodulin 1,N,N,N,N,Y,N,N,N,N,Phosphorylase kinase subunits,2140,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Phosphorylase kinase subunits,Phosphorylase kinase subunits,N,Y,Calm1,ENSMUSG00000001175
K0064,CALM2,HGNC:1445,calmodulin 2,N,N,N,N,Y,N,N,N,N,Phosphorylase kinase subunits,2140,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Phosphorylase kinase subunits,Phosphorylase kinase subunits,N,Y,Calm2,ENSMUSG00000036438
K0065,CALM3,HGNC:1449,calmodulin 3,N,N,N,N,Y,N,N,N,N,Phosphorylase kinase subunits,2140,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Phosphorylase kinase subunits,Phosphorylase kinase subunits,N,Y,Calm3,ENSMUSG00000019370
K0066,CARD10,HGNC:16422,caspase recruitment domain family member 10,N,N,N,Y,N,N,N,N,N,Membrane associated guanylate kinases,904,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Membrane associated guanylate kinases,Membrane associated guanylate kinases,N,N,Card10,ENSMUSG00000033170
K0067,CARD11,HGNC:16393,caspase recruitment domain family member 11,N,N,N,Y,N,N,N,N,N,Membrane associated guanylate kinases,904,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Membrane associated guanylate kinases,Membrane associated guanylate kinases,N,N,Card11,ENSMUSG00000036526
K0068,CARD14,HGNC:16446,caspase recruitment domain family member 14,N,N,N,Y,N,N,N,N,N,Membrane associated guanylate kinases,904,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Membrane associated guanylate kinases,Membrane associated guanylate kinases,N,N,Card14,ENSMUSG00000013483
K0069,CASK,HGNC:1497,calcium/calmodulin dependent serine protein kinase,N,N,N,Y,Y,N,N,N,N,Membrane associated guanylate kinases,904,Approved,gene with protein product,SK064,CASK,CAMK,CASK,"",N,Known - Refseq,Y,CAMK,CASK,"",O14936,Y,TRUE,TRUE,CAMK,CASK,N,N,Cask,ENSMUSG00000031012
K0070,CBFA2T3,HGNC:1537,CBFA2/RUNX1 partner transcriptional co-repressor 3,N,N,Y,N,N,N,N,N,N,A-kinase anchoring proteins,396,Approved,gene with protein product,,,,,,,,N,,,,,N,,,A-kinase anchoring proteins,A-kinase anchoring proteins,N,N,Cbfa2t3,ENSMUSG00000006362
K0071,CCNH,HGNC:1594,cyclin H,N,N,N,N,Y,N,N,N,N,CDK activating kinase complex,1744,Approved,gene with protein product,,,,,,,,N,,,,,N,,,CDK activating kinase complex,CDK activating kinase complex,N,N,Ccnh,ENSMUSG00000021548
K0072,CDC42BPA,HGNC:1737,CDC42 binding protein kinase alpha,N,N,N,N,Y,N,N,N,N,CDC42 binding protein kinase family,3490,Approved,gene with protein product,SK299,,AGC,DMPK,GEK,N,Known - Literature,Y,AGC,DMPK,GEK,Q5VT25,Y,TRUE,TRUE,AGC,DMPK,N,N,Cdc42bpa,ENSMUSG00000026490
K0073,CDC42BPB,HGNC:1738,CDC42 binding protein kinase beta,N,N,N,N,Y,N,N,N,N,CDC42 binding protein kinase family,3490,Approved,gene with protein product,SK241,,AGC,DMPK,GEK,N,Known - Literature,Y,AGC,DMPK,GEK,Q9Y5S2,Y,TRUE,TRUE,AGC,DMPK,N,N,Cdc42bpb,ENSMUSG00000021279
K0074,CDC42BPG,HGNC:29829,CDC42 binding protein kinase gamma,N,N,N,N,Y,N,N,N,N,CDC42 binding protein kinase family,3490,Approved,gene with protein product,SK112,,AGC,DMPK,GEK,N,Known - Genbank,Y,AGC,DMPK,GEK,Q6DT37,Y,TRUE,TRUE,AGC,DMPK,N,N,Cdc42bpg,ENSMUSG00000024769
K0075,CDC7,HGNC:1745,cell division cycle 7,N,N,N,N,Y,N,N,N,N,CDC7 kinase family,3443,Approved,gene with protein product,SK066,CDC7,Other,CDC7,"",N,Known - Refseq,Y,Other,CDC7,"",O00311,Y,TRUE,TRUE,Other,CDC7,N,N,Cdc7,ENSMUSG00000029283
K0076,CDK1,HGNC:1722,cyclin dependent kinase 1,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,SK065,,CMGC,CDK,CDC2,N,Known - Refseq,Y,CMGC,CDK,CDC2,P06493,Y,TRUE,TRUE,CMGC,CDK,N,N,Cdk1,ENSMUSG00000019942
K0077,CDK10,HGNC:1770,cyclin dependent kinase 10,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,SK294,CDK10,CMGC,CDK,CDK10,N,Known - Refseq,Y,CMGC,CDK,CDK10,Q15131,Y,TRUE,TRUE,CMGC,CDK,N,N,Cdk10,ENSMUSG00000033862
K0078,CDK11A,HGNC:1730,cyclin dependent kinase 11A,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Cyclin dependent kinases,Cyclin dependent kinases,N,N,Cdk11b,ENSMUSG00000029062
K0079,CDK11B,HGNC:1729,cyclin dependent kinase 11B,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,SK297,,CMGC,CDK,PITSLRE,N,Known - Refseq,Y,CMGC,CDK,CDK11,P21127,Y,TRUE,TRUE,CMGC,CDK,N,N,Cdk11b,ENSMUSG00000029062
K0080,CDK12,HGNC:24224,cyclin dependent kinase 12,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,SK485,,CMGC,CDK,CRK7,N,Known - Refseq,Y,CMGC,CDK,CRK7,Q9NYV4,Y,TRUE,TRUE,CMGC,CDK,N,N,Cdk12,ENSMUSG00000003119
K0081,CDK13,HGNC:1733,cyclin dependent kinase 13,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,SK076,,CMGC,CDK,CRK7,N,Known - Refseq,Y,CMGC,CDK,CRK7,Q14004,Y,TRUE,TRUE,CMGC,CDK,N,N,Cdk13,ENSMUSG00000041297
K0082,CDK14,HGNC:8883,cyclin dependent kinase 14,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,SK282,,CMGC,CDK,TAIRE,N,Known - Refseq,Y,CMGC,CDK,PFTAIRE,O94921,Y,TRUE,TRUE,CMGC,CDK,N,N,Cdk14,ENSMUSG00000028926
K0083,CDK15,HGNC:14434,cyclin dependent kinase 15,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,SK462,,CMGC,CDK,TAIRE,N,Novel,Y,CMGC,CDK,PFTAIRE,Q96Q40,Y,TRUE,TRUE,CMGC,CDK,N,N,Cdk15,ENSMUSG00000026023
K0084,CDK16,HGNC:8749,cyclin dependent kinase 16,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,SK271,,CMGC,CDK,TAIRE,N,Known - Refseq,Y,CMGC,CDK,PCTAIRE,Q00536,Y,TRUE,TRUE,CMGC,CDK,N,N,Cdk16,ENSMUSG00000031065
K0085,CDK17,HGNC:8750,cyclin dependent kinase 17,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,SK272,,CMGC,CDK,TAIRE,N,Known - Refseq,Y,CMGC,CDK,PCTAIRE,Q00537,Y,TRUE,TRUE,CMGC,CDK,N,N,Cdk17,ENSMUSG00000020015
K0086,CDK18,HGNC:8751,cyclin dependent kinase 18,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,SK273,,CMGC,CDK,TAIRE,N,Known - Genbank,Y,CMGC,CDK,PCTAIRE,Q07002,Y,TRUE,TRUE,CMGC,CDK,N,N,Cdk18,ENSMUSG00000026437
