ensembl_gene_id,external_gene_name,description,hgnc_symbol,hgnc_id,go_id
ENSG00000139567,ACVRL1,activin A receptor like type 1,ACVRL1,175,GO:0000166;GO:0001525;GO:0001701;GO:0001936;GO:0001937;GO:0001938;GO:0001946;GO:0001955;GO:0001974;GO:0002043;GO:0003203;GO:0004672;GO:0004674;GO:0004675;GO:0005024;GO:0005025;GO:0005515;GO:0005524;GO:0005886;GO:0006275;GO:0006355;GO:0006468;GO:0007162;GO:0007165;GO:0007178;GO:0007179;GO:0007507;GO:0008015;GO:0008217;GO:0008285;GO:0009953;GO:0009986;GO:0010596;GO:0010629;GO:0016020;GO:0016301;GO:0016361;GO:0016740;GO:0019901;GO:0019955;GO:0030154;GO:0030308;GO:0030336;GO:0030509;GO:0030513;GO:0030858;GO:0032332;GO:0032924;GO:0035313;GO:0035912;GO:0038023;GO:0043235;GO:0043535;GO:0043537;GO:0045446;GO:0045597;GO:0045602;GO:0045603;GO:0045747;GO:0045766;GO:0045893;GO:0045944;GO:0046332;GO:0046872;GO:0048185;GO:0048514;GO:0050431;GO:0051240;GO:0051895;GO:0060391;GO:0060562;GO:0060836;GO:0060840;GO:0060841;GO:0061154;GO:0061298;GO:0070724;GO:0071363;GO:0071560;GO:0071773;GO:0072359;GO:0098821;GO:1903348;GO:2000026
ENSG00000063761,ADCK1,aarF domain containing kinase 1,ADCK1,19038,GO:0000166;GO:0004672;GO:0004674;GO:0005524;GO:0005739;GO:0005743;GO:0006468;GO:0007005;GO:0010637;GO:0016301;GO:0016740;GO:0055088;GO:1903852
ENSG00000133597,ADCK2,aarF domain containing kinase 2,ADCK2,19039,GO:0000166;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005739;GO:0006468;GO:0010795;GO:0016020;GO:0016301;GO:0016740
ENSG00000285451,ADCK5,aarF domain containing kinase 5,ADCK5,21738,GO:0004674;GO:0005515;GO:0005739;GO:0016020;GO:0016301;GO:0016740
ENSG00000173137,ADCK5,aarF domain containing kinase 5,ADCK5,21738,GO:0004674;GO:0005515;GO:0005739;GO:0016020;GO:0016301;GO:0016740
ENSG00000156110,ADK,adenosine kinase,ADK,257,GO:0000166;GO:0003723;GO:0004001;GO:0004136;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005829;GO:0005886;GO:0006144;GO:0006166;GO:0006169;GO:0006175;GO:0006796;GO:0009156;GO:0016301;GO:0016740;GO:0032263;GO:0044209;GO:0044281;GO:0046872;GO:0106383
ENSG00000159322,ADPGK,ADP dependent glucokinase,ADPGK,25250,GO:0005576;GO:0005783;GO:0005789;GO:0005975;GO:0006006;GO:0006096;GO:0016020;GO:0016301;GO:0016740;GO:0016773;GO:0043843;GO:0046872;GO:0061620
ENSG00000262327,AGK,acylglycerol kinase,AGK,21869,GO:0000166;GO:0001729;GO:0004143;GO:0005515;GO:0005524;GO:0005737;GO:0005739;GO:0005741;GO:0005743;GO:0005758;GO:0005829;GO:0006629;GO:0016020;GO:0016301;GO:0016740;GO:0017050;GO:0031966;GO:0042721;GO:0045039;GO:0046486;GO:0046512;GO:0046513;GO:0047620
ENSG00000006530,AGK,acylglycerol kinase,AGK,21869,GO:0000166;GO:0001727;GO:0001729;GO:0004143;GO:0005515;GO:0005524;GO:0005737;GO:0005739;GO:0005741;GO:0005743;GO:0005758;GO:0005829;GO:0006629;GO:0016020;GO:0016301;GO:0016740;GO:0016773;GO:0017050;GO:0031966;GO:0042721;GO:0045039;GO:0046486;GO:0046512;GO:0046513;GO:0046834;GO:0047620
ENSG00000106992,AK1,adenylate kinase 1,AK1,361,GO:0000166;GO:0001520;GO:0004017;GO:0004550;GO:0005524;GO:0005737;GO:0005829;GO:0006139;GO:0006172;GO:0009117;GO:0009123;GO:0009142;GO:0015949;GO:0016301;GO:0016740;GO:0016776;GO:0019205;GO:0036126;GO:0046033;GO:0046034;GO:0046940;GO:0047506;GO:0050145;GO:0070062
ENSG00000004455,AK2,adenylate kinase 2,AK2,362,GO:0000166;GO:0004017;GO:0004550;GO:0005515;GO:0005524;GO:0005737;GO:0005739;GO:0005758;GO:0005759;GO:0006139;GO:0006172;GO:0009117;GO:0009123;GO:0015949;GO:0016301;GO:0016740;GO:0016776;GO:0019205;GO:0036126;GO:0046033;GO:0046034;GO:0046940;GO:0070062;GO:0097226
ENSG00000147853,AK3,adenylate kinase 3,AK3,17376,GO:0000166;GO:0004017;GO:0005515;GO:0005524;GO:0005525;GO:0005737;GO:0005739;GO:0005759;GO:0006139;GO:0006172;GO:0007596;GO:0009117;GO:0009123;GO:0009142;GO:0016301;GO:0016740;GO:0016776;GO:0016874;GO:0019205;GO:0046033;GO:0046039;GO:0046041;GO:0046051;GO:0046899
ENSG00000162433,AK4,adenylate kinase 4,AK4,363,GO:0000166;GO:0002082;GO:0004017;GO:0004550;GO:0005515;GO:0005524;GO:0005525;GO:0005737;GO:0005739;GO:0005759;GO:0006139;GO:0006172;GO:0009117;GO:0009123;GO:0009142;GO:0009188;GO:0015949;GO:0016301;GO:0016740;GO:0016776;GO:0019205;GO:0036430;GO:0036431;GO:0046033;GO:0046034;GO:0046039;GO:0046899;GO:0046940;GO:0047506;GO:0050145;GO:0071456
ENSG00000233381,AK4P3,adenylate kinase 4 pseudogene 3,AK4P3,21596,GO:0000166;GO:0004017;GO:0004550;GO:0005524;GO:0005525;GO:0005737;GO:0005739;GO:0005759;GO:0006139;GO:0006172;GO:0009117;GO:0009123;GO:0009142;GO:0016301;GO:0016740;GO:0016776;GO:0019205;GO:0046033;GO:0046034;GO:0046039;GO:0046899;GO:0046940
ENSG00000154027,AK5,adenylate kinase 5,AK5,365,GO:0000166;GO:0004017;GO:0004550;GO:0005524;GO:0005737;GO:0005829;GO:0006139;GO:0006172;GO:0006173;GO:0009117;GO:0009123;GO:0009220;GO:0016301;GO:0016740;GO:0016776;GO:0019205;GO:0034451;GO:0046034;GO:0046940
ENSG00000085231,AK6,adenylate kinase 6,AK6,49151,GO:0000166;GO:0004017;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005813;GO:0006364;GO:0015030;GO:0015949;GO:0016020;GO:0016301;GO:0016607;GO:0016740;GO:0016887;GO:0042254;GO:0042274;GO:0046940;GO:0050145
ENSG00000279247,AK6,adenylate kinase 6,AK6,49151,GO:0000166;GO:0004017;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005813;GO:0006364;GO:0015030;GO:0015949;GO:0016020;GO:0016301;GO:0016607;GO:0016740;GO:0016887;GO:0042254;GO:0042274;GO:0046940;GO:0050145
ENSG00000140057,AK7,adenylate kinase 7,AK7,20091,GO:0000166;GO:0004017;GO:0004550;GO:0005524;GO:0005737;GO:0005829;GO:0005929;GO:0006139;GO:0009117;GO:0009123;GO:0016301;GO:0016740;GO:0016776;GO:0019205;GO:0030030;GO:0031514;GO:0036431;GO:0042995;GO:0046940
ENSG00000165695,AK8,adenylate kinase 8,AK8,26526,GO:0000166;GO:0004017;GO:0004550;GO:0005515;GO:0005524;GO:0005737;GO:0005829;GO:0005856;GO:0005930;GO:0006139;GO:0009117;GO:0009123;GO:0016208;GO:0016301;GO:0016740;GO:0016776;GO:0019205;GO:0021591;GO:0036126;GO:0036431;GO:0042995;GO:0046940;GO:0097729
ENSG00000155085,AK9,adenylate kinase 9,AK9,33814,GO:0000166;GO:0004017;GO:0004550;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005829;GO:0005929;GO:0006139;GO:0006225;GO:0009117;GO:0009123;GO:0015630;GO:0016301;GO:0016740;GO:0016776;GO:0016887;GO:0019205;GO:0031514;GO:0031965;GO:0033862;GO:0036430;GO:0036431;GO:0042995;GO:0046705;GO:0046940;GO:0047506;GO:0050145
ENSG00000108599,AKAP10,A-kinase anchoring protein 10,AKAP10,368,GO:0005515;GO:0005737;GO:0005739;GO:0005829;GO:0005886;GO:0007165;GO:0008104;GO:0016020;GO:0016301;GO:0032991;GO:0051018
ENSG00000147081,AKAP4,A-kinase anchoring protein 4,AKAP4,374,GO:0005515;GO:0005634;GO:0005737;GO:0005856;GO:0005929;GO:0005952;GO:0007165;GO:0007178;GO:0007283;GO:0007338;GO:0008104;GO:0016301;GO:0030018;GO:0030030;GO:0030317;GO:0031514;GO:0035686;GO:0036126;GO:0042995;GO:0045184;GO:0048471;GO:0051018;GO:0051649;GO:0097225;GO:0097228;GO:0097229;GO:0120212;GO:0120316
ENSG00000118507,AKAP7,A-kinase anchoring protein 7,AKAP7,377,GO:0001508;GO:0005515;GO:0005886;GO:0006811;GO:0008104;GO:0016020;GO:0016301;GO:0016324;GO:0016328;GO:0035556;GO:0051018;GO:0060306;GO:0071320;GO:1901381
ENSG00000011243,AKAP8L,A-kinase anchoring protein 8 like,AKAP8L,29857,GO:0003677;GO:0005634;GO:0016301
ENSG00000142208,AKT1,AKT serine/threonine kinase 1,AKT1,391,GO:0000166;GO:0001649;GO:0001893;GO:0001938;GO:0002042;GO:0002181;GO:0002430;GO:0003376;GO:0004672;GO:0004674;GO:0004712;GO:0005515;GO:0005516;GO:0005524;GO:0005547;GO:0005634;GO:0005654;GO:0005737;GO:0005739;GO:0005758;GO:0005783;GO:0005819;GO:0005829;GO:0005886;GO:0005911;GO:0005929;GO:0005938;GO:0005977;GO:0005978;GO:0005979;GO:0006006;GO:0006094;GO:0006413;GO:0006417;GO:0006468;GO:0006511;GO:0006606;GO:0006607;GO:0006809;GO:0006888;GO:0006893;GO:0006915;GO:0006924;GO:0006954;GO:0006979;GO:0007165;GO:0007173;GO:0007186;GO:0007281;GO:0007399;GO:0008283;GO:0008286;GO:0008637;GO:0009267;GO:0009408;GO:0009725;GO:0010467;GO:0010507;GO:0010595;GO:0010628;GO:0010629;GO:0010748;GO:0010761;GO:0010763;GO:0010765;GO:0010907;GO:0010975;GO:0015630;GO:0016020;GO:0016242;GO:0016301;GO:0016310;GO:0016477;GO:0016567;GO:0016740;GO:0018105;GO:0018107;GO:0019221;GO:0019899;GO:0019900;GO:0019901;GO:0022605;GO:0030027;GO:0030154;GO:0030163;GO:0030235;GO:0030291;GO:0030307;GO:0030334;GO:0030335;GO:0030336;GO:0031145;GO:0031146;GO:0031295;GO:0031397;GO:0031641;GO:0031663;GO:0031669;GO:0031929;GO:0031982;GO:0031999;GO:0032079;GO:0032094;GO:0032287;GO:0032436;GO:0032869;GO:0032880;GO:0032991;GO:0033138;GO:0033554;GO:0034122;GO:0034123;GO:0034142;GO:0034198;GO:0034405;GO:0035519;GO:0035556;GO:0035655;GO:0035924;GO:0036064;GO:0036294;GO:0036316;GO:0036416;GO:0036444;GO:0036499;GO:0038202;GO:0042593;GO:0042802;GO:0042803;GO:0042981;GO:0043001;GO:0043066;GO:0043161;GO:0043276;GO:0043325;GO:0043488;GO:0043491;GO:0043536;GO:0045429;GO:0045542;GO:0045600;GO:0045724;GO:0045725;GO:0045746;GO:0045861;GO:0045944;GO:0045947;GO:0045948;GO:0046209;GO:0046326;GO:0046622;GO:0046777;GO:0046889;GO:0048009;GO:0048266;GO:0048661;GO:0051146;GO:0051247;GO:0051604;GO:0060079;GO:0060416;GO:0060627;GO:0060644;GO:0060716;GO:0061512;GO:0070141;GO:0070848;GO:0070972;GO:0070979;GO:0071277;GO:0071356;GO:0071363;GO:0071364;GO:0071380;GO:0071889;GO:0072350;GO:0072655;GO:0072656;GO:0072752;GO:0085020;GO:0090201;GO:0097011;GO:0097194;GO:0097700;GO:0098794;GO:0098978;GO:0099104;GO:0099175;GO:0106004;GO:0106310;GO:0110002;GO:0140052;GO:0140896;GO:0150033;GO:0160049;GO:0160213;GO:1900087;GO:1900182;GO:1901653;GO:1901796;GO:1902018;GO:1902176;GO:1903038;GO:1903078;GO:1903318;GO:1903384;GO:1903898;GO:1904262;GO:1904263;GO:1904515;GO:1904841;GO:1905552;GO:1905786;GO:1990090;GO:1990418;GO:2000010;GO:2000074;GO:2000402;GO:2001240;GO:2001243
ENSG00000105221,AKT2,AKT serine/threonine kinase 2,AKT2,392,GO:0000166;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005768;GO:0005769;GO:0005829;GO:0005886;GO:0005938;GO:0005977;GO:0005978;GO:0006006;GO:0006417;GO:0006468;GO:0006915;GO:0007165;GO:0008286;GO:0010748;GO:0010907;GO:0016020;GO:0016301;GO:0016740;GO:0030334;GO:0030335;GO:0032000;GO:0032287;GO:0032587;GO:0032869;GO:0035556;GO:0036211;GO:0043066;GO:0043536;GO:0045444;GO:0045725;GO:0046326;GO:0046872;GO:0050821;GO:0051726;GO:0060644;GO:0071486;GO:0072659;GO:0090314;GO:0097473;GO:0106310;GO:0140677;GO:1903676;GO:1903898;GO:2000147
ENSG00000275199,AKT3,AKT serine/threonine kinase 3,AKT3,393,GO:0000002;GO:0000166;GO:0001938;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005794;GO:0005829;GO:0005886;GO:0005929;GO:0006468;GO:0007165;GO:0008286;GO:0016020;GO:0016301;GO:0016740;GO:0030335;GO:0035556;GO:0036064;GO:0043066;GO:0043536;GO:0090050;GO:0106310;GO:1905564;GO:2000773
ENSG00000117020,AKT3,AKT serine/threonine kinase 3,AKT3,393,GO:0000002;GO:0000166;GO:0001938;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005794;GO:0005829;GO:0005886;GO:0005929;GO:0006468;GO:0007165;GO:0008286;GO:0016020;GO:0016301;GO:0016740;GO:0030335;GO:0032008;GO:0035556;GO:0036064;GO:0043066;GO:0043536;GO:0045766;GO:0045793;GO:0048854;GO:0048873;GO:0090050;GO:0106310;GO:1903898;GO:1905564;GO:1905653;GO:2000773
ENSG00000059573,ALDH18A1,aldehyde dehydrogenase 18 family member A1,ALDH18A1,9722,GO:0000166;GO:0003723;GO:0003824;GO:0004349;GO:0004350;GO:0005515;GO:0005524;GO:0005737;GO:0005739;GO:0005743;GO:0005759;GO:0006536;GO:0006561;GO:0006592;GO:0008652;GO:0009266;GO:0016301;GO:0016491;GO:0016620;GO:0016740;GO:0019240;GO:0031966;GO:0042802;GO:0055129
ENSG00000171094,ALK,ALK receptor tyrosine kinase,ALK,427,GO:0000166;GO:0004672;GO:0004713;GO:0004714;GO:0005515;GO:0005524;GO:0005886;GO:0006468;GO:0006950;GO:0007165;GO:0007169;GO:0007399;GO:0007420;GO:0008201;GO:0016020;GO:0016301;GO:0016310;GO:0016740;GO:0021766;GO:0030298;GO:0030534;GO:0032991;GO:0036269;GO:0038083;GO:0042127;GO:0042802;GO:0042981;GO:0043235;GO:0045664;GO:0046777;GO:0048666;GO:0050995;GO:0051092;GO:0060159;GO:0070062;GO:0080090;GO:0090648;GO:0097009;GO:1900006
ENSG00000073331,ALPK1,alpha kinase 1,ALPK1,20917,GO:0000922;GO:0002376;GO:0002753;GO:0004674;GO:0005515;GO:0005524;GO:0005737;GO:0005813;GO:0005829;GO:0005856;GO:0005929;GO:0006468;GO:0016301;GO:0016740;GO:0030030;GO:0036064;GO:0042995;GO:0043123;GO:0045087;GO:0048029;GO:0060271;GO:0106310
ENSG00000198796,ALPK2,alpha kinase 2,ALPK2,20565,GO:0003007;GO:0003308;GO:0004674;GO:0005524;GO:0005886;GO:0006468;GO:0010468;GO:0016020;GO:0016301;GO:0016323;GO:0016740;GO:0030010;GO:0042981;GO:0055013;GO:0106310;GO:1905223
ENSG00000136383,ALPK3,alpha kinase 3,ALPK3,17574,GO:0004674;GO:0005524;GO:0005634;GO:0006468;GO:0007507;GO:0016301;GO:0016740;GO:0055007;GO:0055013;GO:0106310
ENSG00000135409,AMHR2,anti-Mullerian hormone receptor type 2,AMHR2,465,GO:0000166;GO:0001880;GO:0004672;GO:0004674;GO:0004675;GO:0005024;GO:0005026;GO:0005515;GO:0005524;GO:0005886;GO:0006468;GO:0007178;GO:0007179;GO:0007548;GO:0008584;GO:0008585;GO:0016020;GO:0016301;GO:0016740;GO:0030509;GO:0042562;GO:0042803;GO:0043235;GO:0046872;GO:0071363;GO:1990262;GO:1990272
ENSG00000170209,ANKK1,ankyrin repeat and kinase domain containing 1,ANKK1,21027,GO:0000166;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005737;GO:0006468;GO:0010564;GO:0016301;GO:0016740;GO:0042995;GO:0071300;GO:0106310
ENSG00000078061,ARAF,"A-Raf proto-oncogene, serine/threonine kinase",ARAF,646,GO:0000165;GO:0000166;GO:0004672;GO:0004674;GO:0004709;GO:0005515;GO:0005524;GO:0005737;GO:0005739;GO:0005829;GO:0006468;GO:0007165;GO:0008270;GO:0016301;GO:0016740;GO:0032006;GO:0032434;GO:0033138;GO:0036211;GO:0043066;GO:0046872;GO:0106310
ENSG00000149311,ATM,ATM serine/threonine kinase,ATM,795,GO:0000045;GO:0000077;GO:0000166;GO:0000425;GO:0000723;GO:0000724;GO:0000729;GO:0000781;GO:0001541;GO:0001756;GO:0002331;GO:0002376;GO:0003677;GO:0004672;GO:0004674;GO:0004677;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005694;GO:0005730;GO:0005737;GO:0005777;GO:0005782;GO:0005813;GO:0005819;GO:0005829;GO:0005856;GO:0006281;GO:0006302;GO:0006303;GO:0006338;GO:0006468;GO:0006513;GO:0006974;GO:0006979;GO:0007094;GO:0007095;GO:0007127;GO:0007131;GO:0007140;GO:0007143;GO:0007165;GO:0007292;GO:0007420;GO:0007507;GO:0008340;GO:0008585;GO:0008630;GO:0009791;GO:0010212;GO:0010468;GO:0010506;GO:0010557;GO:0010628;GO:0016301;GO:0016303;GO:0016740;GO:0030330;GO:0030335;GO:0030889;GO:0031146;GO:0031410;GO:0032210;GO:0032212;GO:0033151;GO:0033554;GO:0034614;GO:0035264;GO:0035861;GO:0035979;GO:0036092;GO:0036289;GO:0042159;GO:0042594;GO:0042770;GO:0042802;GO:0042981;GO:0043065;GO:0043161;GO:0043517;GO:0043525;GO:0044877;GO:0045141;GO:0045785;GO:0045944;GO:0046777;GO:0048538;GO:0048599;GO:0050821;GO:0051402;GO:0051726;GO:0070192;GO:0070534;GO:0071044;GO:0071300;GO:0071480;GO:0071481;GO:0071500;GO:0080135;GO:0090398;GO:0090399;GO:0097694;GO:0097695;GO:0098850;GO:0106310;GO:0110025;GO:1900034;GO:1901701;GO:1901796;GO:1901797;GO:1904262;GO:1904354;GO:1904358;GO:1904884;GO:1905168;GO:1990166;GO:1990391;GO:2000042;GO:2000781;GO:2000785;GO:2000786
