ensembl_gene_id,external_gene_name,description,mgi_id,go_id
ENSMUSG00000000530,Acvrl1,"activin A receptor, type II-like 1",1338946,GO:0000166;GO:0001525;GO:0001701;GO:0001937;GO:0001938;GO:0001946;GO:0001974;GO:0003203;GO:0004672;GO:0004674;GO:0004675;GO:0005024;GO:0005025;GO:0005515;GO:0005524;GO:0005886;GO:0006355;GO:0006468;GO:0007162;GO:0007165;GO:0007178;GO:0007179;GO:0007507;GO:0008015;GO:0008217;GO:0008285;GO:0009953;GO:0009986;GO:0010596;GO:0010629;GO:0016020;GO:0016301;GO:0016361;GO:0016740;GO:0019901;GO:0030154;GO:0030308;GO:0030336;GO:0030509;GO:0030513;GO:0030858;GO:0032924;GO:0035313;GO:0035912;GO:0042118;GO:0043537;GO:0045602;GO:0045603;GO:0045747;GO:0045766;GO:0045893;GO:0045944;GO:0046332;GO:0046872;GO:0048185;GO:0048514;GO:0050431;GO:0051895;GO:0060391;GO:0060836;GO:0060840;GO:0060841;GO:0061154;GO:0061298;GO:0070724;GO:0071363;GO:0071560;GO:0071773;GO:0098821;GO:1903348
ENSMUSG00000021044,Adck1,aarF domain containing kinase 1,1919363,GO:0000166;GO:0003674;GO:0004672;GO:0004674;GO:0005524;GO:0005739;GO:0005743;GO:0006468;GO:0007005;GO:0010637;GO:0016301;GO:0016740;GO:0055088;GO:1903852
ENSMUSG00000039197,Adk,adenosine kinase,87930,GO:0000166;GO:0004001;GO:0004136;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005829;GO:0005886;GO:0006144;GO:0006166;GO:0006175;GO:0006796;GO:0009156;GO:0016301;GO:0016740;GO:0032263;GO:0044209;GO:0044281;GO:0046128;GO:0046872;GO:0106383
ENSMUSG00000025236,Adpgk,ADP-dependent glucokinase,1919391,GO:0005576;GO:0005783;GO:0005975;GO:0006006;GO:0006096;GO:0016301;GO:0016740;GO:0016773;GO:0043843;GO:0046872
ENSMUSG00000029916,Agk,acylglycerol kinase,1917173,GO:0000166;GO:0001727;GO:0001729;GO:0004143;GO:0005524;GO:0005737;GO:0005739;GO:0005743;GO:0005758;GO:0006629;GO:0016020;GO:0016301;GO:0016740;GO:0017050;GO:0031966;GO:0042721;GO:0045039;GO:0046486;GO:0046512;GO:0046513;GO:0046834;GO:0047620
ENSMUSG00000026817,Ak1,adenylate kinase 1,87977,GO:0000166;GO:0001520;GO:0004017;GO:0004550;GO:0005524;GO:0005737;GO:0005829;GO:0006139;GO:0006172;GO:0009142;GO:0016301;GO:0016740;GO:0019205;GO:0036126;GO:0046033;GO:0046034;GO:0046940;GO:0047506;GO:0050145
ENSMUSG00000028792,Ak2,adenylate kinase 2,87978,GO:0000166;GO:0004017;GO:0004550;GO:0005524;GO:0005737;GO:0005739;GO:0005743;GO:0005758;GO:0006139;GO:0006172;GO:0016301;GO:0016740;GO:0016776;GO:0019205;GO:0036126;GO:0046033;GO:0046034;GO:0046940;GO:0097226
ENSMUSG00000024782,Ak3,adenylate kinase 3,1860835,GO:0000166;GO:0004017;GO:0005524;GO:0005525;GO:0005737;GO:0005739;GO:0005759;GO:0006139;GO:0006172;GO:0009142;GO:0016301;GO:0016740;GO:0016776;GO:0019205;GO:0046033;GO:0046039;GO:0046041;GO:0046051;GO:0046899;GO:0046940
ENSMUSG00000028527,Ak4,adenylate kinase 4,87979,GO:0000166;GO:0002082;GO:0004017;GO:0004550;GO:0005524;GO:0005525;GO:0005737;GO:0005739;GO:0005759;GO:0006139;GO:0006172;GO:0009142;GO:0009188;GO:0016301;GO:0016740;GO:0016776;GO:0019205;GO:0036430;GO:0036431;GO:0046033;GO:0046034;GO:0046039;GO:0046899;GO:0046940;GO:0047506;GO:0050145;GO:0071456
ENSMUSG00000039058,Ak5,adenylate kinase 5,2677491,GO:0000166;GO:0004017;GO:0004550;GO:0005524;GO:0005737;GO:0005829;GO:0006139;GO:0016301;GO:0016740;GO:0019205;GO:0034451;GO:0046034;GO:0046940
ENSMUSG00000078941,Ak6,adenylate kinase 6,5510732,GO:0000166;GO:0004017;GO:0004140;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0006364;GO:0015030;GO:0015937;GO:0016301;GO:0016740;GO:0016887;GO:0042254;GO:0042274;GO:0046940
ENSMUSG00000041323,Ak7,adenylate kinase 7,1926051,GO:0000166;GO:0004017;GO:0004550;GO:0005524;GO:0005737;GO:0005829;GO:0005929;GO:0006139;GO:0016301;GO:0016740;GO:0019205;GO:0030030;GO:0031514;GO:0036431;GO:0042995;GO:0046940
ENSMUSG00000026807,Ak8,adenylate kinase 8,1916120,GO:0000166;GO:0004017;GO:0004550;GO:0005524;GO:0005737;GO:0005829;GO:0005856;GO:0005930;GO:0006139;GO:0016208;GO:0016301;GO:0016740;GO:0019205;GO:0021591;GO:0036126;GO:0036431;GO:0042995;GO:0046940;GO:0097729
ENSMUSG00000091415,Ak9,adenylate kinase 9,2685080,GO:0000166;GO:0004550;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005829;GO:0005929;GO:0006139;GO:0006225;GO:0009117;GO:0015630;GO:0016301;GO:0016740;GO:0016887;GO:0019205;GO:0031514;GO:0031965;GO:0033862;GO:0042995;GO:0046705;GO:0046940;GO:0050145
ENSMUSG00000038587,Akap12,A kinase anchor protein 12,1932576,GO:0005515;GO:0005516;GO:0005737;GO:0005829;GO:0005856;GO:0005886;GO:0007165;GO:0007193;GO:0008179;GO:0010738;GO:0010739;GO:0016020;GO:0016301;GO:0030159;GO:0032496;GO:0032760;GO:0035733;GO:0043025;GO:0043116;GO:0050804;GO:0051018;GO:0051602;GO:0061870;GO:0070374;GO:0071347;GO:0071356;GO:0090036;GO:0098685;GO:1900143
ENSMUSG00000036551,Akap14,A kinase anchor protein 14,3618288,GO:0003674;GO:0005952;GO:0008150;GO:0016301;GO:0034237
ENSMUSG00000050089,Akap4,A kinase anchor protein 4,102794,GO:0005515;GO:0005737;GO:0005929;GO:0007178;GO:0007283;GO:0008104;GO:0016301;GO:0030018;GO:0030030;GO:0030317;GO:0031514;GO:0035686;GO:0036126;GO:0042995;GO:0045184;GO:0048471;GO:0051018;GO:0051649;GO:0097225;GO:0097228;GO:0097229;GO:0120212;GO:0120316
ENSMUSG00000024045,Akap8,A kinase anchor protein 8,1928488,GO:0000785;GO:0000793;GO:0001939;GO:0002376;GO:0003677;GO:0003682;GO:0003690;GO:0005515;GO:0005634;GO:0005654;GO:0005730;GO:0005737;GO:0007076;GO:0008270;GO:0015031;GO:0016301;GO:0016363;GO:0032720;GO:0034237;GO:0042826;GO:0044839;GO:0045087;GO:0046872;GO:0051059;GO:0071222;GO:0071380
ENSMUSG00000002625,Akap8l,A kinase anchor protein 8-like,1860606,GO:0000785;GO:0003677;GO:0005521;GO:0005634;GO:0005737;GO:0006397;GO:0007076;GO:0008270;GO:0010793;GO:0016301;GO:0016363;GO:0016607;GO:0042826;GO:0044839;GO:0045944;GO:0046872;GO:0051081;GO:1990904
ENSMUSG00000001729,Akt1,thymoma viral proto-oncogene 1,87986,GO:0000166;GO:0001649;GO:0001893;GO:0001938;GO:0002042;GO:0002181;GO:0002430;GO:0003376;GO:0004672;GO:0004674;GO:0004712;GO:0005515;GO:0005516;GO:0005524;GO:0005547;GO:0005634;GO:0005654;GO:0005737;GO:0005739;GO:0005758;GO:0005819;GO:0005829;GO:0005886;GO:0005911;GO:0005929;GO:0005977;GO:0005978;GO:0005979;GO:0006006;GO:0006094;GO:0006413;GO:0006417;GO:0006468;GO:0006511;GO:0006606;GO:0006607;GO:0006888;GO:0006893;GO:0006915;GO:0006924;GO:0006954;GO:0006979;GO:0007010;GO:0007173;GO:0007281;GO:0007399;GO:0008286;GO:0008637;GO:0009267;GO:0009408;GO:0009725;GO:0010467;GO:0010507;GO:0010595;GO:0010628;GO:0010629;GO:0010748;GO:0010763;GO:0010765;GO:0010907;GO:0010975;GO:0015630;GO:0016020;GO:0016301;GO:0016477;GO:0016567;GO:0016740;GO:0019900;GO:0019901;GO:0022605;GO:0030030;GO:0030163;GO:0030235;GO:0030307;GO:0030334;GO:0030335;GO:0030336;GO:0031145;GO:0031146;GO:0031397;GO:0031641;GO:0031663;GO:0031669;GO:0031982;GO:0031999;GO:0032094;GO:0032287;GO:0032436;GO:0032869;GO:0032880;GO:0032991;GO:0034122;GO:0034123;GO:0034142;GO:0034198;GO:0034405;GO:0035519;GO:0035556;GO:0035655;GO:0035924;GO:0036064;GO:0036294;GO:0036316;GO:0036416;GO:0036444;GO:0036499;GO:0038202;GO:0042593;GO:0042802;GO:0042803;GO:0042981;GO:0043001;GO:0043066;GO:0043161;GO:0043325;GO:0043491;GO:0043536;GO:0045429;GO:0045542;GO:0045600;GO:0045724;GO:0045725;GO:0045792;GO:0045861;GO:0045944;GO:0045947;GO:0045948;GO:0046326;GO:0046622;GO:0046889;GO:0048009;GO:0048266;GO:0048661;GO:0051146;GO:0051604;GO:0060416;GO:0060627;GO:0060709;GO:0060716;GO:0061512;GO:0070141;GO:0070848;GO:0070972;GO:0070979;GO:0071277;GO:0071356;GO:0071363;GO:0071364;GO:0071380;GO:0071889;GO:0072350;GO:0072655;GO:0072656;GO:0085020;GO:0090201;GO:0097011;GO:0097194;GO:0098978;GO:0099104;GO:0099175;GO:0106004;GO:0106310;GO:0110002;GO:0140052;GO:0140896;GO:0150033;GO:0160049;GO:1900087;GO:1900182;GO:1901653;GO:1902018;GO:1903038;GO:1903078;GO:1903384;GO:1903898;GO:1904262;GO:1904263;GO:1904515;GO:1904841;GO:1905552;GO:1905786;GO:1990090;GO:1990418;GO:2000010;GO:2000402;GO:2001243
ENSMUSG00000004056,Akt2,thymoma viral proto-oncogene 2,104874,GO:0000166;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005768;GO:0005769;GO:0005829;GO:0005886;GO:0005938;GO:0005977;GO:0005978;GO:0006006;GO:0006417;GO:0006468;GO:0006915;GO:0008286;GO:0010748;GO:0010765;GO:0010907;GO:0016020;GO:0016301;GO:0016740;GO:0030335;GO:0032000;GO:0032287;GO:0032587;GO:0032869;GO:0035556;GO:0043066;GO:0043536;GO:0045725;GO:0046326;GO:0046872;GO:0050821;GO:0071486;GO:0072659;GO:0090314;GO:0097473;GO:0106310;GO:1903676;GO:1903898;GO:2000147
ENSMUSG00000019699,Akt3,thymoma viral proto-oncogene 3,1345147,GO:0000002;GO:0000166;GO:0001938;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005794;GO:0005829;GO:0005886;GO:0005929;GO:0006468;GO:0007165;GO:0008286;GO:0010765;GO:0016020;GO:0016301;GO:0016740;GO:0032008;GO:0032869;GO:0035556;GO:0036064;GO:0043066;GO:0043536;GO:0045766;GO:0045793;GO:0048854;GO:0048873;GO:0090050;GO:0106310;GO:1903898;GO:1905564;GO:1905653;GO:2000773
ENSMUSG00000025007,Aldh18a1,"aldehyde dehydrogenase 18 family, member A1",1888908,GO:0000166;GO:0003824;GO:0004349;GO:0004350;GO:0005524;GO:0005737;GO:0005739;GO:0005759;GO:0006536;GO:0006561;GO:0006592;GO:0008652;GO:0009266;GO:0016301;GO:0016491;GO:0016620;GO:0016740;GO:0019240;GO:0031966;GO:0042802;GO:0055129
ENSMUSG00000055471,Alk,anaplastic lymphoma kinase,103305,GO:0000166;GO:0004672;GO:0004713;GO:0004714;GO:0005515;GO:0005524;GO:0005886;GO:0006468;GO:0006950;GO:0007169;GO:0007399;GO:0007420;GO:0008201;GO:0016020;GO:0016301;GO:0016740;GO:0021766;GO:0030298;GO:0030424;GO:0030534;GO:0032991;GO:0036269;GO:0038083;GO:0042127;GO:0042802;GO:0043235;GO:0044297;GO:0045664;GO:0050995;GO:0060159;GO:0080090;GO:0090648;GO:0097009;GO:1900006
ENSMUSG00000028028,Alpk1,alpha-kinase 1,1918731,GO:0000922;GO:0002753;GO:0004674;GO:0005524;GO:0005813;GO:0005829;GO:0005929;GO:0006468;GO:0016301;GO:0016740;GO:0036064;GO:0043123;GO:0045087;GO:0048029;GO:0060271
ENSMUSG00000032845,Alpk2,alpha-kinase 2,2449492,GO:0003007;GO:0003308;GO:0004674;GO:0005524;GO:0005886;GO:0006468;GO:0010468;GO:0016020;GO:0016301;GO:0016323;GO:0016740;GO:0030010;GO:0042981;GO:0055013;GO:0106310;GO:1905223
ENSMUSG00000038763,Alpk3,alpha-kinase 3,2151224,GO:0004674;GO:0005524;GO:0005634;GO:0006468;GO:0007507;GO:0016301;GO:0016740;GO:0055007;GO:0055013;GO:0106310
ENSMUSG00000023047,Amhr2,anti-Mullerian hormone type 2 receptor,105062,GO:0000166;GO:0004672;GO:0004674;GO:0004675;GO:0005024;GO:0005026;GO:0005524;GO:0005886;GO:0006468;GO:0007178;GO:0007179;GO:0007548;GO:0008584;GO:0008585;GO:0016020;GO:0016301;GO:0016740;GO:0030509;GO:0042562;GO:0042803;GO:0043235;GO:0046872;GO:0071363;GO:1990262;GO:1990272
ENSMUSG00000032257,Ankk1,ankyrin repeat and kinase domain containing 1,3045301,GO:0000166;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005737;GO:0006468;GO:0010564;GO:0016301;GO:0016740;GO:0042995;GO:0071300;GO:0106310
ENSMUSG00000001127,Araf,"Araf proto-oncogene, serine/threonine kinase",88065,GO:0000165;GO:0000166;GO:0004672;GO:0004674;GO:0004709;GO:0005515;GO:0005524;GO:0005737;GO:0005739;GO:0005829;GO:0006468;GO:0007165;GO:0008270;GO:0016301;GO:0016740;GO:0032006;GO:0032434;GO:0043066;GO:0046872;GO:0106310
ENSMUSG00000062132,Arhgap33os,"Rho GTPase activating protein 33, opposite strand",2685928,GO:0000776;GO:0004672;GO:0005515;GO:0005524;GO:0006468;GO:0007094;GO:0007140;GO:0008608;GO:0030496;GO:0043063;GO:0045171;GO:0051306
ENSMUSG00000034218,Atm,ataxia telangiectasia mutated,107202,GO:0000045;GO:0000077;GO:0000166;GO:0000425;GO:0000723;GO:0000724;GO:0000729;GO:0000781;GO:0001541;GO:0001756;GO:0002331;GO:0002376;GO:0003677;GO:0004672;GO:0004674;GO:0004677;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005694;GO:0005730;GO:0005737;GO:0005777;GO:0005782;GO:0005813;GO:0005819;GO:0005856;GO:0006281;GO:0006302;GO:0006338;GO:0006513;GO:0006974;GO:0006979;GO:0007094;GO:0007095;GO:0007127;GO:0007140;GO:0007143;GO:0007292;GO:0007420;GO:0007507;GO:0008340;GO:0008585;GO:0008630;GO:0009791;GO:0010212;GO:0010468;GO:0010506;GO:0010557;GO:0010628;GO:0016301;GO:0016303;GO:0016740;GO:0030330;GO:0030335;GO:0030889;GO:0031146;GO:0031410;GO:0032210;GO:0032212;GO:0033151;GO:0033554;GO:0034614;GO:0035264;GO:0035861;GO:0035979;GO:0036092;GO:0042159;GO:0042594;GO:0042770;GO:0042802;GO:0043065;GO:0043161;GO:0043517;GO:0043525;GO:0044877;GO:0045141;GO:0045785;GO:0045944;GO:0046777;GO:0048538;GO:0048599;GO:0050821;GO:0051402;GO:0051726;GO:0070192;GO:0070534;GO:0071044;GO:0071300;GO:0071480;GO:0071481;GO:0071500;GO:0090399;GO:0097694;GO:0097695;GO:0098850;GO:0106310;GO:0110025;GO:1901701;GO:1901797;GO:1904262;GO:1904354;GO:1904358;GO:1904884;GO:1905168;GO:1990166;GO:1990391;GO:2000042;GO:2000781;GO:2000785;GO:2000786
ENSMUSG00000032409,Atr,ataxia telangiectasia and Rad3 related,108028,GO:0000077;GO:0000086;GO:0000166;GO:0003677;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005635;GO:0005654;GO:0005694;GO:0005794;GO:0006260;GO:0006281;GO:0006302;GO:0006338;GO:0006974;GO:0006998;GO:0008156;GO:0009410;GO:0009612;GO:0009891;GO:0016301;GO:0016605;GO:0016740;GO:0032405;GO:0032407;GO:0034644;GO:0035979;GO:0043517;GO:0044818;GO:0046685;GO:0051081;GO:0070198;GO:0070310;GO:0071480;GO:0090399;GO:0090734;GO:0097694;GO:0110025;GO:1904884;GO:1990166
ENSMUSG00000027496,Aurka,aurora kinase A,894678,GO:0000166;GO:0000212;GO:0000226;GO:0000278;GO:0000776;GO:0000922;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005813;GO:0005814;GO:0005815;GO:0005819;GO:0005829;GO:0005856;GO:0005874;GO:0005876;GO:0005886;GO:0005929;GO:0006338;GO:0006468;GO:0006915;GO:0007051;GO:0007052;GO:0007057;GO:0007098;GO:0007100;GO:0009611;GO:0009948;GO:0010629;GO:0014069;GO:0015630;GO:0016020;GO:0016301;GO:0016323;GO:0016740;GO:0019901;GO:0030030;GO:0031616;GO:0031625;GO:0031647;GO:0032133;GO:0032436;GO:0032465;GO:0035175;GO:0036064;GO:0042585;GO:0042995;GO:0043005;GO:0043066;GO:0043161;GO:0043203;GO:0045120;GO:0045931;GO:0046982;GO:0048471;GO:0051233;GO:0051301;GO:0051321;GO:0051642;GO:0061523;GO:0071539;GO:0072686;GO:0072687;GO:0090141;GO:0097421;GO:0097431;GO:0098978;GO:0106310;GO:1900195;GO:1990138
ENSMUSG00000020897,Aurkb,aurora kinase B,107168,GO:0000122;GO:0000166;GO:0000278;GO:0000281;GO:0000775;GO:0000776;GO:0000779;GO:0000922;GO:0002903;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005694;GO:0005737;GO:0005813;GO:0005819;GO:0005856;GO:0005876;GO:0006338;GO:0006468;GO:0007051;GO:0007052;GO:0010369;GO:0015630;GO:0016301;GO:0016740;GO:0019900;GO:0030496;GO:0031117;GO:0032133;GO:0032206;GO:0032465;GO:0032466;GO:0032467;GO:0034501;GO:0034644;GO:0036089;GO:0043687;GO:0044022;GO:0044839;GO:0044878;GO:0045824;GO:0051233;GO:0051256;GO:0051301;GO:0051315;GO:0061952;GO:0062033;GO:0090267;GO:0097431;GO:0106310;GO:0140273;GO:0140896;GO:0160049;GO:1901970;GO:1902425;GO:1903490;GO:1905116;GO:1990023;GO:1990758
ENSMUSG00000070837,Aurkc,aurora kinase C,1321119,GO:0000166;GO:0000775;GO:0000776;GO:0000793;GO:0000922;GO:0004672;GO:0004674;GO:0005524;GO:0005634;GO:0005694;GO:0005737;GO:0005813;GO:0005819;GO:0005856;GO:0005876;GO:0006468;GO:0007052;GO:0016301;GO:0016740;GO:0030496;GO:0032133;GO:0032465;GO:0051233;GO:0051301;GO:0051321;GO:0106310;GO:1990385
