MGI symbol	Gene stable ID	UniProtKB/Swiss-Prot ID	MGI ID	Gene name	Gene description
Gm20897	ENSMUSG00000100892		MGI:5434253	Gm20897	predicted gene, 20897 [Source:MGI Symbol;Acc:MGI:5434253]
Gm20867	ENSMUSG00000096898		MGI:5434223	Gm20867	predicted gene, 20867 [Source:MGI Symbol;Acc:MGI:5434223]
Gm20806	ENSMUSG00000094739		MGI:5434162	Gm20806	predicted gene, 20806 [Source:MGI Symbol;Acc:MGI:5434162]
Gm29276	ENSMUSG00000101471		MGI:5579982	Gm29276	predicted gene 29276 [Source:MGI Symbol;Acc:MGI:5579982]
Gm20854	ENSMUSG00000095650		MGI:5434210	Gm20854	predicted gene, 20854 [Source:MGI Symbol;Acc:MGI:5434210]
Gm20820	ENSMUSG00000100240		MGI:5434176	Gm20820	predicted gene, 20820 [Source:MGI Symbol;Acc:MGI:5434176]
Gm20883	ENSMUSG00000102122		MGI:5434239	Gm20883	predicted gene, 20883 [Source:MGI Symbol;Acc:MGI:5434239]
Gm20906	ENSMUSG00000099856		MGI:5434262	Gm20906	predicted gene, 20906 [Source:MGI Symbol;Acc:MGI:5434262]
Gm20747	ENSMUSG00000094729		MGI:5434103	Gm20747	predicted gene, 20747 [Source:MGI Symbol;Acc:MGI:5434103]
Gm20929	ENSMUSG00000100045		MGI:5434285	Gm20929	predicted gene, 20929 [Source:MGI Symbol;Acc:MGI:5434285]
Gm20823	ENSMUSG00000093950		MGI:5434179	Gm20823	predicted gene, 20823 [Source:MGI Symbol;Acc:MGI:5434179]
Gm21627	ENSMUSG00000100856		MGI:5434982	Gm21627	predicted gene, 21627 [Source:MGI Symbol;Acc:MGI:5434982]
Gm20908	ENSMUSG00000101766		MGI:5434264	Gm20908	predicted gene, 20908 [Source:MGI Symbol;Acc:MGI:5434264]
Gm20924	ENSMUSG00000095785		MGI:5434280	Gm20924	predicted gene, 20924 [Source:MGI Symbol;Acc:MGI:5434280]
Gm20736	ENSMUSG00000093993		MGI:5434092	Gm20736	predicted gene, 20736 [Source:MGI Symbol;Acc:MGI:5434092]
Gm20852	ENSMUSG00000096666		MGI:5434208	Gm20852	predicted gene, 20852 [Source:MGI Symbol;Acc:MGI:5434208]
Ssty2	ENSMUSG00000095302		MGI:1917259	Ssty2	spermiogenesis specific transcript on the Y 2 [Source:MGI Symbol;Acc:MGI:1917259]
Gm20937	ENSMUSG00000096016		MGI:5434293	Gm20937	predicted gene, 20937 [Source:MGI Symbol;Acc:MGI:5434293]
Gm21366	ENSMUSG00000103919		MGI:5434721	Gm21366	predicted gene, 21366 [Source:MGI Symbol;Acc:MGI:5434721]
Gm20809	ENSMUSG00000093868		MGI:5434165	Gm20809	predicted gene, 20809 [Source:MGI Symbol;Acc:MGI:5434165]
Rbmyf4	ENSMUSG00000101667		MGI:5579995	Rbmyf4	RNA binding motif protein Y-linked family member 4 [Source:MGI Symbol;Acc:MGI:5579995]
Rbmyf5	ENSMUSG00000093918	O35698	MGI:5435032	Rbmyf5	RNA binding motif protein Y-linked family member 5 [Source:MGI Symbol;Acc:MGI:5435032]
Rbmyf6	ENSMUSG00000094511		MGI:5435048	Rbmyf6	RNA binding motif protein Y-linked family member 6 [Source:MGI Symbol;Acc:MGI:5435048]
Rbmyf7	ENSMUSG00000093987	O35698	MGI:5435059	Rbmyf7	RNA binding motif protein Y-linked family member 7 [Source:MGI Symbol;Acc:MGI:5435059]
Rbmyf8	ENSMUSG00000095948	O35698	MGI:5435063	Rbmyf8	RNA binding motif protein Y-linked family member 8 [Source:MGI Symbol;Acc:MGI:5435063]
Rbmyf9	ENSMUSG00000096520	Q60990	MGI:3781554	Rbmyf9	RNA binding motif protein Y-linked family member 9 [Source:MGI Symbol;Acc:MGI:3781554]
Gm20918	ENSMUSG00000093927		MGI:5434274	Gm20918	predicted gene, 20918 [Source:MGI Symbol;Acc:MGI:5434274]
Gm20873	ENSMUSG00000095148		MGI:5434229	Gm20873	predicted gene, 20873 [Source:MGI Symbol;Acc:MGI:5434229]
Gm20830	ENSMUSG00000096686		MGI:5434186	Gm20830	predicted gene, 20830 [Source:MGI Symbol;Acc:MGI:5434186]
Gm28998	ENSMUSG00000100939		MGI:5579704	Gm28998	predicted gene 28998 [Source:MGI Symbol;Acc:MGI:5579704]
Gm20826	ENSMUSG00000094081		MGI:5434182	Gm20826	predicted gene, 20826 [Source:MGI Symbol;Acc:MGI:5434182]
Gm28576	ENSMUSG00000100645		MGI:5579282	Gm28576	predicted gene 28576 [Source:MGI Symbol;Acc:MGI:5579282]
Gm29049	ENSMUSG00000099861		MGI:5579755	Gm29049	predicted gene 29049 [Source:MGI Symbol;Acc:MGI:5579755]
Gm20825	ENSMUSG00000095324		MGI:5434181	Gm20825	predicted gene, 20825 [Source:MGI Symbol;Acc:MGI:5434181]
Gm20824	ENSMUSG00000101928		MGI:5434180	Gm20824	predicted gene, 20824 [Source:MGI Symbol;Acc:MGI:5434180]
Gm20815	ENSMUSG00000101053		MGI:5434171	Gm20815	predicted gene, 20815 [Source:MGI Symbol;Acc:MGI:5434171]
Gm21310	ENSMUSG00000095032		MGI:5434665	Gm21310	predicted gene, 21310 [Source:MGI Symbol;Acc:MGI:5434665]
Gm20834	ENSMUSG00000095242		MGI:5434190	Gm20834	predicted gene, 20834 [Source:MGI Symbol;Acc:MGI:5434190]
Gm20828	ENSMUSG00000094838		MGI:5434184	Gm20828	predicted gene, 20828 [Source:MGI Symbol;Acc:MGI:5434184]
Gm20822	ENSMUSG00000095172		MGI:5434178	Gm20822	predicted gene, 20822 [Source:MGI Symbol;Acc:MGI:5434178]
Gm20909	ENSMUSG00000094294		MGI:5434265	Gm20909	predicted gene, 20909 [Source:MGI Symbol;Acc:MGI:5434265]
Gm20865	ENSMUSG00000093848		MGI:5434221	Gm20865	predicted gene, 20865 [Source:MGI Symbol;Acc:MGI:5434221]
Zfy1	ENSMUSG00000053211	P10925	MGI:99212	Zfy1	zinc finger protein 1, Y-linked [Source:MGI Symbol;Acc:MGI:99212]
Uba1y	ENSMUSG00000069053	P31254	MGI:98891	Uba1y	ubiquitin-activating enzyme, Chr Y [Source:MGI Symbol;Acc:MGI:98891]
Kdm5d	ENSMUSG00000056673		MGI:99780	Kdm5d	lysine demethylase 5D [Source:MGI Symbol;Acc:MGI:99780]
Kdm5d	ENSMUSG00000056673	Q62240	MGI:99780	Kdm5d	lysine demethylase 5D [Source:MGI Symbol;Acc:MGI:99780]
Eif2s3y	ENSMUSG00000069049	Q9Z0N2	MGI:1349430	Eif2s3y	eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked [Source:MGI Symbol;Acc:MGI:1349430]
Uty	ENSMUSG00000068457		MGI:894810	Uty	ubiquitously transcribed tetratricopeptide repeat containing, Y-linked [Source:MGI Symbol;Acc:MGI:894810]
Ddx3y	ENSMUSG00000069045	Q62095	MGI:1349406	Ddx3y	DEAD box helicase 3, Y-linked [Source:MGI Symbol;Acc:MGI:1349406]
Ddx3y	ENSMUSG00000069045		MGI:1349406	Ddx3y	DEAD box helicase 3, Y-linked [Source:MGI Symbol;Acc:MGI:1349406]
Usp9y	ENSMUSG00000069044	F8VPU6	MGI:1313274	Usp9y	ubiquitin specific peptidase 9, Y chromosome [Source:MGI Symbol;Acc:MGI:1313274]
Zfy2	ENSMUSG00000000103	P20662	MGI:99213	Zfy2	zinc finger protein 2, Y-linked [Source:MGI Symbol;Acc:MGI:99213]
H2al2c	ENSMUSG00000094881		MGI:3779546	H2al2c	H2A histone family member L2C [Source:MGI Symbol;Acc:MGI:3779546]
Sry	ENSMUSG00000069036	Q05738	MGI:98660	Sry	sex determining region of Chr Y [Source:MGI Symbol;Acc:MGI:98660]
H2al2b	ENSMUSG00000095573		MGI:3710623	H2al2b	H2A histone family member L2B [Source:MGI Symbol;Acc:MGI:3710623]
Rbmyf1	ENSMUSG00000102053		MGI:3782239	Rbmyf1	RNA binding motif protein Y-linked family member 1 [Source:MGI Symbol;Acc:MGI:3782239]
Rbmy	ENSMUSG00000094658	O35698	MGI:104732	Rbmy	RNA binding motif protein, Y chromosome [Source:MGI Symbol;Acc:MGI:104732]
Rbmyf2	ENSMUSG00000095852		MGI:3710530	Rbmyf2	RNA binding motif protein Y-linked family member 2 [Source:MGI Symbol;Acc:MGI:3710530]
Rbmyf3	ENSMUSG00000091987		MGI:3708825	Rbmyf3	RNA binding motif protein Y-linked family member 3 [Source:MGI Symbol;Acc:MGI:3708825]
Rbm31y	ENSMUSG00000095365		MGI:1921734	Rbm31y	RNA binding motif 31, Y-linked [Source:MGI Symbol;Acc:MGI:1921734]
Gm20772	ENSMUSG00000102739		MGI:5434128	Gm20772	predicted gene, 20772 [Source:MGI Symbol;Acc:MGI:5434128]
Gm20831	ENSMUSG00000094325		MGI:5434187	Gm20831	predicted gene, 20831 [Source:MGI Symbol;Acc:MGI:5434187]
Ssty1	ENSMUSG00000095267		MGI:1314663	Ssty1	spermiogenesis specific transcript on the Y 1 [Source:MGI Symbol;Acc:MGI:1314663]
Gm20877	ENSMUSG00000095520		MGI:5434233	Gm20877	predicted gene, 20877 [Source:MGI Symbol;Acc:MGI:5434233]
Gm20807	ENSMUSG00000104267		MGI:5434163	Gm20807	predicted gene, 20807 [Source:MGI Symbol;Acc:MGI:5434163]
Gm21440	ENSMUSG00000103468		MGI:5434795	Gm21440	predicted gene, 21440 [Source:MGI Symbol;Acc:MGI:5434795]
Gm21454	ENSMUSG00000093903		MGI:5434809	Gm21454	predicted gene, 21454 [Source:MGI Symbol;Acc:MGI:5434809]
Gm57885	ENSMUSG00000121543		MGI:7798924	Gm57885	predicted gene, 57885 [Source:MGI Symbol;Acc:MGI:7798924]
Gm57894	ENSMUSG00000121557		MGI:7798934	Gm57894	predicted gene, 57894 [Source:MGI Symbol;Acc:MGI:7798934]
Gm57895	ENSMUSG00000121556		MGI:7798936	Gm57895	predicted gene, 57895 [Source:MGI Symbol;Acc:MGI:7798936]
Sly	ENSMUSG00000101155		MGI:2687328	Sly	Sycp3 like Y-linked [Source:MGI Symbol;Acc:MGI:2687328]
Gm21943	ENSMUSG00000096122		MGI:5439394	Gm21943	predicted gene, 21943 [Source:MGI Symbol;Acc:MGI:5439394]
Gm28961	ENSMUSG00000101399		MGI:5579667	Gm28961	predicted gene 28961 [Source:MGI Symbol;Acc:MGI:5579667]
Gm21118	ENSMUSG00000094052		MGI:5434473	Gm21118	predicted gene, 21118 [Source:MGI Symbol;Acc:MGI:5434473]
Gm29424	ENSMUSG00000099948		MGI:5580130	Gm29424	predicted gene 29424 [Source:MGI Symbol;Acc:MGI:5580130]
Gm29554	ENSMUSG00000100231		MGI:5580260	Gm29554	predicted gene 29554 [Source:MGI Symbol;Acc:MGI:5580260]
Gm20812	ENSMUSG00000095508		MGI:5434168	Gm20812	predicted gene, 20812 [Source:MGI Symbol;Acc:MGI:5434168]
Gm21258	ENSMUSG00000095606		MGI:5434613	Gm21258	predicted gene, 21258 [Source:MGI Symbol;Acc:MGI:5434613]
Gm20931	ENSMUSG00000094570		MGI:5434287	Gm20931	predicted gene, 20931 [Source:MGI Symbol;Acc:MGI:5434287]
Gm20917	ENSMUSG00000095867		MGI:5434273	Gm20917	predicted gene, 20917 [Source:MGI Symbol;Acc:MGI:5434273]
Gm20916	ENSMUSG00000094746		MGI:5434272	Gm20916	predicted gene, 20916 [Source:MGI Symbol;Acc:MGI:5434272]
Gm20855	ENSMUSG00000095793		MGI:5434211	Gm20855	predicted gene, 20855 [Source:MGI Symbol;Acc:MGI:5434211]
Gm20896	ENSMUSG00000096650		MGI:5434252	Gm20896	predicted gene, 20896 [Source:MGI Symbol;Acc:MGI:5434252]
Gm20869	ENSMUSG00000099531		MGI:5434225	Gm20869	predicted gene, 20869 [Source:MGI Symbol;Acc:MGI:5434225]
Gm21394	ENSMUSG00000094660		MGI:5434749	Gm21394	predicted gene, 21394 [Source:MGI Symbol;Acc:MGI:5434749]
Gm21409	ENSMUSG00000099840		MGI:5434764	Gm21409	predicted gene, 21409 [Source:MGI Symbol;Acc:MGI:5434764]
Gm20920	ENSMUSG00000100485		MGI:5434276	Gm20920	predicted gene, 20920 [Source:MGI Symbol;Acc:MGI:5434276]
Gm20894	ENSMUSG00000101158		MGI:5434250	Gm20894	predicted gene, 20894 [Source:MGI Symbol;Acc:MGI:5434250]
Gm21317	ENSMUSG00000101286		MGI:5434672	Gm21317	predicted gene, 21317 [Source:MGI Symbol;Acc:MGI:5434672]
Gm20835	ENSMUSG00000101933		MGI:5434191	Gm20835	predicted gene, 20835 [Source:MGI Symbol;Acc:MGI:5434191]
Gm20911	ENSMUSG00000099894		MGI:5434267	Gm20911	predicted gene, 20911 [Source:MGI Symbol;Acc:MGI:5434267]
Gm21117	ENSMUSG00000096769		MGI:5434472	Gm21117	predicted gene, 21117 [Source:MGI Symbol;Acc:MGI:5434472]
Gm20888	ENSMUSG00000094616		MGI:5434244	Gm20888	predicted gene, 20888 [Source:MGI Symbol;Acc:MGI:5434244]
Gm21650	ENSMUSG00000094647		MGI:5435005	Gm21650	predicted gene, 21650 [Source:MGI Symbol;Acc:MGI:5435005]
Gm21518	ENSMUSG00000094821		MGI:5434873	Gm21518	predicted gene, 21518 [Source:MGI Symbol;Acc:MGI:5434873]
Gm21209	ENSMUSG00000095979		MGI:5434564	Gm21209	predicted gene, 21209 [Source:MGI Symbol;Acc:MGI:5434564]
Gm20843	ENSMUSG00000096902		MGI:5434199	Gm20843	predicted gene, 20843 [Source:MGI Symbol;Acc:MGI:5434199]
Gm21294	ENSMUSG00000102045		MGI:5434649	Gm21294	predicted gene, 21294 [Source:MGI Symbol;Acc:MGI:5434649]
Gm21095	ENSMUSG00000095153		MGI:5434450	Gm21095	predicted gene, 21095 [Source:MGI Symbol;Acc:MGI:5434450]
Gm21488	ENSMUSG00000099541		MGI:5434843	Gm21488	predicted gene, 21488 [Source:MGI Symbol;Acc:MGI:5434843]
Gm20890	ENSMUSG00000100055		MGI:5434246	Gm20890	predicted gene, 20890 [Source:MGI Symbol;Acc:MGI:5434246]
Gm21173	ENSMUSG00000100708		MGI:5434528	Gm21173	predicted gene, 21173 [Source:MGI Symbol;Acc:MGI:5434528]
Gm21497	ENSMUSG00000100726		MGI:5434852	Gm21497	predicted gene, 21497 [Source:MGI Symbol;Acc:MGI:5434852]
Gm28553	ENSMUSG00000100972		MGI:5579259	Gm28553	predicted gene 28553 [Source:MGI Symbol;Acc:MGI:5579259]
Gm21760	ENSMUSG00000095578		MGI:5433924	Gm21760	predicted gene, 21760 [Source:MGI Symbol;Acc:MGI:5433924]
Gm21858	ENSMUSG00000095135		MGI:5434022	Gm21858	predicted gene, 21858 [Source:MGI Symbol;Acc:MGI:5434022]
Gm57478	ENSMUSG00000100667		MGI:7510159	Gm57478	predicted gene, 57478 [Source:MGI Symbol;Acc:MGI:7510159]
Gm20792	ENSMUSG00000101653		MGI:5434148	Gm20792	predicted gene, 20792 [Source:MGI Symbol;Acc:MGI:5434148]
Gm21865	ENSMUSG00000093895		MGI:5434029	Gm21865	predicted gene, 21865 [Source:MGI Symbol;Acc:MGI:5434029]
Gm35134	ENSMUSG00000103371		MGI:5594293	Gm35134	predicted gene, 35134 [Source:MGI Symbol;Acc:MGI:5594293]
Gm30737	ENSMUSG00000104191		MGI:5589896	Gm30737	predicted gene, 30737 [Source:MGI Symbol;Acc:MGI:5589896]
Gm21996	ENSMUSG00000100608		MGI:5440224	Gm21996	predicted gene 21996 [Source:MGI Symbol;Acc:MGI:5440224]
Gm28102	ENSMUSG00000101915		MGI:5578808	Gm28102	predicted gene 28102 [Source:MGI Symbol;Acc:MGI:5578808]
Gm28490	ENSMUSG00000094789		MGI:5579196	Gm28490	predicted gene 28490 [Source:MGI Symbol;Acc:MGI:5579196]
Gm29582	ENSMUSG00000100467		MGI:5580288	Gm29582	predicted gene 29582 [Source:MGI Symbol;Acc:MGI:5580288]
Gm28870	ENSMUSG00000100338		MGI:5579576	Gm28870	predicted gene 28870 [Source:MGI Symbol;Acc:MGI:5579576]
Gm21739	ENSMUSG00000094181		MGI:5433903	Gm21739	predicted gene, 21739 [Source:MGI Symbol;Acc:MGI:5433903]
Gm21256	ENSMUSG00000094782		MGI:5434611	Gm21256	predicted gene, 21256 [Source:MGI Symbol;Acc:MGI:5434611]
Gm20838	ENSMUSG00000095011		MGI:5434194	Gm20838	predicted gene, 20838 [Source:MGI Symbol;Acc:MGI:5434194]
Gm28891	ENSMUSG00000095141		MGI:5579597	Gm28891	predicted gene 28891 [Source:MGI Symbol;Acc:MGI:5579597]
Gm20837	ENSMUSG00000096178		MGI:5434193	Gm20837	predicted gene, 20837 [Source:MGI Symbol;Acc:MGI:5434193]
Gm21861	ENSMUSG00000096626		MGI:5434025	Gm21861	predicted gene, 21861 [Source:MGI Symbol;Acc:MGI:5434025]
Gm28897	ENSMUSG00000099740		MGI:5579603	Gm28897	predicted gene 28897 [Source:MGI Symbol;Acc:MGI:5579603]
Gm29564	ENSMUSG00000099792		MGI:5580270	Gm29564	predicted gene 29564 [Source:MGI Symbol;Acc:MGI:5580270]
Gm28827	ENSMUSG00000099925		MGI:5579533	Gm28827	predicted gene 28827 [Source:MGI Symbol;Acc:MGI:5579533]
Gm29110	ENSMUSG00000101528		MGI:5579816	Gm29110	predicted gene 29110 [Source:MGI Symbol;Acc:MGI:5579816]
Gm31571	ENSMUSG00000103528		MGI:5590730	Gm31571	predicted gene, 31571 [Source:MGI Symbol;Acc:MGI:5590730]
Gm29866	ENSMUSG00000102668		MGI:5589025	Gm29866	predicted gene, 29866 [Source:MGI Symbol;Acc:MGI:5589025]
Gm20777	ENSMUSG00000094813		MGI:5434133	Gm20777	predicted gene, 20777 [Source:MGI Symbol;Acc:MGI:5434133]
Gm28510	ENSMUSG00000101396		MGI:5579216	Gm28510	predicted gene 28510 [Source:MGI Symbol;Acc:MGI:5579216]
Gm20737	ENSMUSG00000095950		MGI:5434093	Gm20737	predicted gene, 20737 [Source:MGI Symbol;Acc:MGI:5434093]
Gm28919	ENSMUSG00000101243		MGI:5579625	Gm28919	predicted gene 28919 [Source:MGI Symbol;Acc:MGI:5579625]
Gm21719	ENSMUSG00000079806		MGI:5433883	Gm21719	predicted gene, 21719 [Source:MGI Symbol;Acc:MGI:5433883]
Gm28171	ENSMUSG00000100634		MGI:5578877	Gm28171	predicted gene 28171 [Source:MGI Symbol;Acc:MGI:5578877]
Gm21778	ENSMUSG00000096036		MGI:5433942	Gm21778	predicted gene, 21778 [Source:MGI Symbol;Acc:MGI:5433942]
Gm21854	ENSMUSG00000096706		MGI:5434018	Gm21854	predicted gene, 21854 [Source:MGI Symbol;Acc:MGI:5434018]
Gm20914	ENSMUSG00000096268		MGI:5434270	Gm20914	predicted gene, 20914 [Source:MGI Symbol;Acc:MGI:5434270]
Gm21812	ENSMUSG00000094773		MGI:5433976	Gm21812	predicted gene, 21812 [Source:MGI Symbol;Acc:MGI:5433976]
Gm21874	ENSMUSG00000096223		MGI:5434038	Gm21874	predicted gene, 21874 [Source:MGI Symbol;Acc:MGI:5434038]
Gm20821	ENSMUSG00000094556		MGI:5434177	Gm20821	predicted gene, 20821 [Source:MGI Symbol;Acc:MGI:5434177]
Gm21244	ENSMUSG00000094484		MGI:5434599	Gm21244	predicted gene, 21244 [Source:MGI Symbol;Acc:MGI:5434599]
Gm21292	ENSMUSG00000091077		MGI:5434647	Gm21292	predicted gene, 21292 [Source:MGI Symbol;Acc:MGI:5434647]
Gm21721	ENSMUSG00000094679		MGI:5433885	Gm21721	predicted gene, 21721 [Source:MGI Symbol;Acc:MGI:5433885]
Gm21425	ENSMUSG00000096820		MGI:5434780	Gm21425	predicted gene, 21425 [Source:MGI Symbol;Acc:MGI:5434780]
Gm20773	ENSMUSG00000095900		MGI:5434129	Gm20773	predicted gene, 20773 [Source:MGI Symbol;Acc:MGI:5434129]
Gm20795	ENSMUSG00000095452		MGI:5434151	Gm20795	predicted gene, 20795 [Source:MGI Symbol;Acc:MGI:5434151]
Gm21094	ENSMUSG00000095263		MGI:5434449	Gm21094	predicted gene, 21094 [Source:MGI Symbol;Acc:MGI:5434449]
Gm21477	ENSMUSG00000094399		MGI:5434832	Gm21477	predicted gene, 21477 [Source:MGI Symbol;Acc:MGI:5434832]
Chst9	ENSMUSG00000047161	Q76EC5	MGI:1918617	Chst9	carbohydrate sulfotransferase 9 [Source:MGI Symbol;Acc:MGI:1918617]
Chst9	ENSMUSG00000047161		MGI:1918617	Chst9	carbohydrate sulfotransferase 9 [Source:MGI Symbol;Acc:MGI:1918617]
Cdh2	ENSMUSG00000024304	P15116	MGI:88355	Cdh2	cadherin 2 [Source:MGI Symbol;Acc:MGI:88355]
Cdh2	ENSMUSG00000024304		MGI:88355	Cdh2	cadherin 2 [Source:MGI Symbol;Acc:MGI:88355]
Cep120	ENSMUSG00000048799	Q7TSG1	MGI:2147298	Cep120	centrosomal protein 120 [Source:MGI Symbol;Acc:MGI:2147298]
Csnk1g3	ENSMUSG00000073563	Q8C4X2	MGI:1917675	Csnk1g3	casein kinase 1, gamma 3 [Source:MGI Symbol;Acc:MGI:1917675]
Csnk1g3	ENSMUSG00000073563		MGI:1917675	Csnk1g3	casein kinase 1, gamma 3 [Source:MGI Symbol;Acc:MGI:1917675]
Dsc3	ENSMUSG00000059898	P55850	MGI:1194993	Dsc3	desmocollin 3 [Source:MGI Symbol;Acc:MGI:1194993]
Dsc3	ENSMUSG00000059898		MGI:1194993	Dsc3	desmocollin 3 [Source:MGI Symbol;Acc:MGI:1194993]
Zfp608	ENSMUSG00000052713	Q56A10	MGI:2442338	Zfp608	zinc finger protein 608 [Source:MGI Symbol;Acc:MGI:2442338]
Zfp608	ENSMUSG00000052713		MGI:2442338	Zfp608	zinc finger protein 608 [Source:MGI Symbol;Acc:MGI:2442338]
Gramd2b	ENSMUSG00000001700		MGI:1914815	Gramd2b	GRAM domain containing 2B [Source:MGI Symbol;Acc:MGI:1914815]
Gramd2b	ENSMUSG00000001700	Q6PEM6	MGI:1914815	Gramd2b	GRAM domain containing 2B [Source:MGI Symbol;Acc:MGI:1914815]
Dsc2	ENSMUSG00000024331	P55292	MGI:103221	Dsc2	desmocollin 2 [Source:MGI Symbol;Acc:MGI:103221]
Dsc2	ENSMUSG00000024331		MGI:103221	Dsc2	desmocollin 2 [Source:MGI Symbol;Acc:MGI:103221]
Dsc1	ENSMUSG00000044322	P55849	MGI:109173	Dsc1	desmocollin 1 [Source:MGI Symbol;Acc:MGI:109173]
Dsc1	ENSMUSG00000044322		MGI:109173	Dsc1	desmocollin 1 [Source:MGI Symbol;Acc:MGI:109173]
