"HGNC_join","external_gene_name","ensembl_gene_id","description","Group name","Protein","Metabolic","Lipid","HGNC_ID","HGNC_gene_name","Manning_Group","Manning_Family","Manning_Subfamily","Group","Family","SubFamily","ensembl"
"ADPGK","ADPGK","ENSG00000159322","ADP dependent glucokinase",NA,"N","N","N","HGNC:25250","ADPGK",NA,NA,NA,NA,NA,NA,NA
"AGK","AGK","ENSG00000006530","acylglycerol kinase",NA,"N","Y","Y","HGNC:21869","AGK",NA,NA,NA,NA,NA,NA,NA
"AK1","AK1","ENSG00000106992","adenylate kinase 1","Adenylate kinases","Y","Y","N","HGNC:361","AK1",NA,NA,NA,NA,NA,NA,NA
"AK2","AK2","ENSG00000004455","adenylate kinase 2","Adenylate kinases","Y","Y","N","HGNC:362","AK2",NA,NA,NA,NA,NA,NA,NA
"AK3","AK3","ENSG00000147853","adenylate kinase 3","Adenylate kinases","Y","Y","N","HGNC:17376","AK3",NA,NA,NA,NA,NA,NA,NA
"AK4","AK4","ENSG00000162433","adenylate kinase 4","Adenylate kinases","Y","Y","N","HGNC:363","AK4",NA,NA,NA,NA,NA,NA,NA
"AK4P3","AK4P3","ENSG00000233381","adenylate kinase 4 pseudogene 3",NA,"N","N","N","HGNC:21596","AK4P3",NA,NA,NA,NA,NA,NA,NA
"AK5","AK5","ENSG00000154027","adenylate kinase 5","Adenylate kinases","Y","Y","N","HGNC:365","AK5",NA,NA,NA,NA,NA,NA,NA
"AK6","AK6","ENSG00000085231","adenylate kinase 6","Adenylate kinases","Y","Y","N","HGNC:49151","AK6",NA,NA,NA,NA,NA,NA,NA
"AK7","AK7","ENSG00000140057","adenylate kinase 7","Adenylate kinases","Y","Y","N","HGNC:20091","AK7",NA,NA,NA,NA,NA,NA,NA
"AK8","AK8","ENSG00000165695","adenylate kinase 8","Adenylate kinases","Y","Y","N","HGNC:26526","AK8",NA,NA,NA,NA,NA,NA,NA
"AK9","AK9","ENSG00000155085","adenylate kinase 9","Adenylate kinases","Y","Y","N","HGNC:33814","AK9",NA,NA,NA,NA,NA,NA,NA
"AKAP10","AKAP10","ENSG00000108599","A-kinase anchoring protein 10","A-kinase anchoring proteins","Y","N","N","HGNC:368","AKAP10",NA,NA,NA,NA,NA,NA,NA
"AKAP4","AKAP4","ENSG00000147081","A-kinase anchoring protein 4","A-kinase anchoring proteins","Y","N","N","HGNC:374","AKAP4",NA,NA,NA,NA,NA,NA,NA
"AKAP7","AKAP7","ENSG00000118507","A-kinase anchoring protein 7","A-kinase anchoring proteins","Y","N","N","HGNC:377","AKAP7",NA,NA,NA,NA,NA,NA,NA
"AKAP8L","AKAP8L","ENSG00000011243","A-kinase anchoring protein 8 like",NA,"N","N","N","HGNC:29857","AKAP8L",NA,NA,NA,NA,NA,NA,NA
"AKT1","AKT1","ENSG00000142208","AKT serine/threonine kinase 1","AKT kinase family","Y","Y","Y","HGNC:391","AKT1","AGC","AKT",NA,"AGC","Akt",NA,"ENSG00000142208"
"AKT2","AKT2","ENSG00000105221","AKT serine/threonine kinase 2","AKT kinase family","Y","Y","Y","HGNC:392","AKT2","AGC","AKT",NA,"AGC","Akt",NA,"ENSG00000105221"
"AKT3","AKT3","ENSG00000117020","AKT serine/threonine kinase 3","AKT kinase family","Y","Y","Y","HGNC:393","AKT3","AGC","AKT",NA,"AGC","Akt",NA,"ENSG00000117020"
"ALDH18A1","ALDH18A1","ENSG00000059573","aldehyde dehydrogenase 18 family member A1",NA,"N","Y","N","HGNC:9722","ALDH18A1",NA,NA,NA,NA,NA,NA,NA
"ALK","ALK","ENSG00000171094","ALK receptor tyrosine kinase","Receptor tyrosine kinases","Y","N","N","HGNC:427","ALK","TK","Alk",NA,"TK","ALK",NA,"ENSG00000171094"
"ALPK1","ALPK1","ENSG00000073331","alpha kinase 1",NA,"N","N","N","HGNC:20917","ALPK1",NA,NA,NA,NA,NA,NA,NA
"ALPK2","ALPK2","ENSG00000198796","alpha kinase 2",NA,"N","N","N","HGNC:20565","ALPK2",NA,NA,NA,NA,NA,NA,NA
"ALPK3","ALPK3","ENSG00000136383","alpha kinase 3",NA,"N","N","N","HGNC:17574","ALPK3",NA,NA,NA,NA,NA,NA,NA
"AMHR2","AMHR2","ENSG00000135409","anti-Mullerian hormone receptor type 2","Type 2 receptor serine/threonine kinases","Y","N","N","HGNC:465","AMHR2",NA,NA,NA,NA,NA,NA,NA
"ANKK1","ANKK1","ENSG00000170209","ankyrin repeat and kinase domain containing 1",NA,"N","N","N","HGNC:21027","ANKK1",NA,NA,NA,NA,NA,NA,NA
"ARAF","ARAF","ENSG00000078061","A-Raf proto-oncogene, serine/threonine kinase","Mitogen-activated protein kinase kinase kinases","Y","N","N","HGNC:646","ARAF","TKL","RAF",NA,NA,NA,NA,NA
"ATM","ATM","ENSG00000149311","ATM serine/threonine kinase",NA,"N","N","N","HGNC:795","ATM","Atypical","PIKK","ATM",NA,NA,NA,NA
"ATR","ATR","ENSG00000175054","ATR serine/threonine kinase",NA,"N","N","N","HGNC:882","ATR","Atypical","PIKK","ATR",NA,NA,NA,NA
"AURKA","AURKA","ENSG00000087586","aurora kinase A","Aurora kinase family","Y","N","N","HGNC:11393","AURKA",NA,NA,NA,NA,NA,NA,NA
"AURKB","AURKB","ENSG00000178999","aurora kinase B","Aurora kinase family","Y","N","N","HGNC:11390","AURKB",NA,NA,NA,NA,NA,NA,NA
"AURKC","AURKC","ENSG00000105146","aurora kinase C","Aurora kinase family","Y","N","N","HGNC:11391","AURKC",NA,NA,NA,NA,NA,NA,NA
"AVP","AVP","ENSG00000101200","arginine vasopressin",NA,"N","N","N","HGNC:894","AVP",NA,NA,NA,NA,NA,NA,NA
"AXL","AXL","ENSG00000167601","AXL receptor tyrosine kinase","Receptor tyrosine kinases","Y","N","N","HGNC:905","AXL","TK","Axl",NA,NA,NA,NA,NA
"BAZ1B","BAZ1B","ENSG00000009954","bromodomain adjacent to zinc finger domain 1B",NA,"N","N","N","HGNC:961","BAZ1B",NA,NA,NA,NA,NA,NA,NA
"BCKDK","BCKDK","ENSG00000103507","branched chain keto acid dehydrogenase kinase",NA,"N","N","N","HGNC:16902","BCKDK","Atypical","PDHK",NA,NA,NA,NA,NA
"BCR","BCR","ENSG00000186716","BCR activator of RhoGEF and GTPase",NA,"N","N","N","HGNC:1014","BCR","Atypical","BCR",NA,NA,NA,NA,NA
"BEGAIN","BEGAIN","ENSG00000183092","brain enriched guanylate kinase associated",NA,"N","N","N","HGNC:24163","BEGAIN",NA,NA,NA,NA,NA,NA,NA
"BLK","BLK","ENSG00000136573","BLK proto-oncogene, Src family tyrosine kinase","Src family tyrosine kinases","Y","N","N","HGNC:1057","BLK","TK","Src",NA,NA,NA,NA,NA
"BLVRA","BLVRA","ENSG00000106605","biliverdin reductase A",NA,"N","Y","N","HGNC:1062","BLVRA",NA,NA,NA,NA,NA,NA,NA
"BMP2K","BMP2K","ENSG00000138756","BMP2 inducible kinase",NA,"N","N","N","HGNC:18041","BMP2K",NA,NA,NA,NA,NA,NA,NA
"BMPR1A","BMPR1A","ENSG00000107779","bone morphogenetic protein receptor type 1A","Type 1 receptor serine/threonine kinases","Y","N","N","HGNC:1076","BMPR1A","TKL","STKR","Type1","TKL","STKR","STKR1","ENSG00000107779"
"BMPR1B","BMPR1B","ENSG00000138696","bone morphogenetic protein receptor type 1B","Type 1 receptor serine/threonine kinases","Y","N","N","HGNC:1077","BMPR1B","TKL","STKR","Type1","TKL","STKR","STKR1","ENSG00000138696"
"BMPR2","BMPR2","ENSG00000204217","bone morphogenetic protein receptor type 2","Type 2 receptor serine/threonine kinases","Y","N","N","HGNC:1078","BMPR2","TKL","STKR","Type2",NA,NA,NA,NA
"BMX","BMX","ENSG00000102010","BMX non-receptor tyrosine kinase","Tec family tyrosine kinases","Y","N","N","HGNC:1079","BMX","TK","Tec",NA,NA,NA,NA,NA
"BRAF","BRAF","ENSG00000157764","B-Raf proto-oncogene, serine/threonine kinase","Mitogen-activated protein kinase kinase kinases","Y","N","N","HGNC:1097","BRAF","TKL","RAF",NA,NA,NA,NA,NA
"BRD2","BRD2","ENSG00000204256","bromodomain containing 2",NA,"N","N","N","HGNC:1103","BRD2","Atypical","BRD",NA,NA,NA,NA,NA
"BRD3","BRD3","ENSG00000169925","bromodomain containing 3",NA,"N","N","N","HGNC:1104","BRD3","Atypical","BRD",NA,NA,NA,NA,NA
"BRD4","BRD4","ENSG00000141867","bromodomain containing 4",NA,"N","N","N","HGNC:13575","BRD4","Atypical","BRD",NA,NA,NA,NA,NA
"BRDT","BRDT","ENSG00000137948","bromodomain testis associated",NA,"N","N","N","HGNC:1105","BRDT","Atypical","BRD",NA,NA,NA,NA,NA
"BRSK1","BRSK1","ENSG00000160469","BR serine/threonine kinase 1","BR serine/threonine kinases","Y","N","N","HGNC:18994","BRSK1","CAMK","CAMKL","BRSK",NA,NA,NA,NA
"BRSK2","BRSK2","ENSG00000174672","BR serine/threonine kinase 2","BR serine/threonine kinases","Y","N","N","HGNC:11405","BRSK2","CAMK","CAMKL","BRSK","CAMK","CAMKL","BRSK","ENSG00000174672"
"BTK","BTK","ENSG00000010671","Bruton tyrosine kinase","Tec family tyrosine kinases","Y","N","N","HGNC:1133","BTK","TK","Tec",NA,NA,NA,NA,NA
"BUB1","BUB1","ENSG00000169679","BUB1 mitotic checkpoint serine/threonine kinase","BUB1 mitotic checkpoint serine/threonine kinase family","Y","N","N","HGNC:1148","BUB1","Other","BUB",NA,NA,NA,NA,NA
"BUB1B","BUB1B","ENSG00000156970","BUB1 mitotic checkpoint serine/threonine kinase B","BUB1 mitotic checkpoint serine/threonine kinase family","Y","N","N","HGNC:1149","BUB1B","Other","BUB",NA,NA,NA,NA,NA
"C8ORF44-SGK3","C8orf44-SGK3","ENSG00000288602","C8orf44-SGK3 readthrough",NA,"N","N","N","HGNC:48354","C8orf44-SGK3",NA,NA,NA,NA,NA,NA,NA
"CAD","CAD","ENSG00000084774","carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",NA,"N","Y","N","HGNC:1424","CAD",NA,NA,NA,NA,NA,NA,NA
"CALM1","CALM1","ENSG00000198668","calmodulin 1","Phosphorylase kinase subunits","Y","N","Y","HGNC:1442","CALM1",NA,NA,NA,NA,NA,NA,NA
"CALM2","CALM2","ENSG00000143933","calmodulin 2","Phosphorylase kinase subunits","Y","N","Y","HGNC:1445","CALM2",NA,NA,NA,NA,NA,NA,NA
"CALM3","CALM3","ENSG00000160014","calmodulin 3","Phosphorylase kinase subunits","Y","N","Y","HGNC:1449","CALM3",NA,NA,NA,NA,NA,NA,NA
"CAMK1","CAMK1","ENSG00000134072","calcium/calmodulin dependent protein kinase I",NA,"N","N","N","HGNC:1459","CAMK1","CAMK","CAMK1",NA,NA,NA,NA,NA
"CAMK1D","CAMK1D","ENSG00000183049","calcium/calmodulin dependent protein kinase ID",NA,"N","N","N","HGNC:19341","CAMK1D","CAMK","CAMK1",NA,NA,NA,NA,NA
"CAMK1G","CAMK1G","ENSG00000008118","calcium/calmodulin dependent protein kinase IG",NA,"N","N","N","HGNC:14585","CAMK1G","CAMK","CAMK1",NA,"CAMK","CAMK1",NA,"ENSG00000008118"
"CAMK2A","CAMK2A","ENSG00000070808","calcium/calmodulin dependent protein kinase II alpha",NA,"N","N","Y","HGNC:1460","CAMK2A","CAMK","CAMK2",NA,NA,NA,NA,NA
"CAMK2B","CAMK2B","ENSG00000058404","calcium/calmodulin dependent protein kinase II beta",NA,"N","N","Y","HGNC:1461","CAMK2B","CAMK","CAMK2",NA,NA,NA,NA,NA
"CAMK2D","CAMK2D","ENSG00000145349","calcium/calmodulin dependent protein kinase II delta",NA,"N","N","Y","HGNC:1462","CAMK2D","CAMK","CAMK2",NA,NA,NA,NA,NA
"CAMK2G","CAMK2G","ENSG00000148660","calcium/calmodulin dependent protein kinase II gamma",NA,"N","N","Y","HGNC:1463","CAMK2G","CAMK","CAMK2",NA,NA,NA,NA,NA
"CAMK4","CAMK4","ENSG00000152495","calcium/calmodulin dependent protein kinase IV",NA,"N","N","N","HGNC:1464","CAMK4","CAMK","CAMK1",NA,NA,NA,NA,NA
"CAMKK1","CAMKK1","ENSG00000004660","calcium/calmodulin dependent protein kinase kinase 1",NA,"N","N","N","HGNC:1469","CAMKK1","Other","CAMKK","Meta",NA,NA,NA,NA
"CAMKK2","CAMKK2","ENSG00000110931","calcium/calmodulin dependent protein kinase kinase 2",NA,"N","N","N","HGNC:1470","CAMKK2","Other","CAMKK","Meta",NA,NA,NA,NA
"CAMKV","CAMKV","ENSG00000164076","CaM kinase like vesicle associated",NA,"N","N","N","HGNC:28788","CAMKV",NA,NA,NA,NA,NA,NA,NA
"CASK","CASK","ENSG00000147044","calcium/calmodulin dependent serine protein kinase","Membrane associated guanylate kinases","Y","N","N","HGNC:1497","CASK","CAMK","CASK",NA,NA,NA,NA,NA
"CCL2","CCL2","ENSG00000108691","C-C motif chemokine ligand 2",NA,"N","N","Y","HGNC:10618","CCL2",NA,NA,NA,NA,NA,NA,NA
"CCL3","CCL3","ENSG00000274221","C-C motif chemokine ligand 3",NA,"N","N","Y","HGNC:10627","CCL3",NA,NA,NA,NA,NA,NA,NA
"CCL5","CCL5","ENSG00000271503","C-C motif chemokine ligand 5",NA,"N","N","Y","HGNC:10632","CCL5",NA,NA,NA,NA,NA,NA,NA
"CCL8","CCL8","ENSG00000108700","C-C motif chemokine ligand 8",NA,"N","N","N","HGNC:10635","CCL8",NA,NA,NA,NA,NA,NA,NA
"CCND1","CCND1","ENSG00000110092","cyclin D1",NA,"N","N","N","HGNC:1582","CCND1",NA,NA,NA,NA,NA,NA,NA
"CCNE1","CCNE1","ENSG00000105173","cyclin E1",NA,"N","N","N","HGNC:1589","CCNE1",NA,NA,NA,NA,NA,NA,NA
"CCNH","CCNH","ENSG00000134480","cyclin H","CDK activating kinase complex","Y","N","N","HGNC:1594","CCNH",NA,NA,NA,NA,NA,NA,NA
"CDC42BPA","CDC42BPA","ENSG00000143776","CDC42 binding protein kinase alpha","CDC42 binding protein kinase family","Y","N","N","HGNC:1737","CDC42BPA",NA,NA,NA,NA,NA,NA,NA
"CDC42BPB","CDC42BPB","ENSG00000198752","CDC42 binding protein kinase beta","CDC42 binding protein kinase family","Y","N","N","HGNC:1738","CDC42BPB",NA,NA,NA,NA,NA,NA,NA
"CDC42BPG","CDC42BPG","ENSG00000171219","CDC42 binding protein kinase gamma","CDC42 binding protein kinase family","Y","N","N","HGNC:29829","CDC42BPG",NA,NA,NA,NA,NA,NA,NA
"CDC7","CDC7","ENSG00000097046","cell division cycle 7","CDC7 kinase family","Y","N","N","HGNC:1745","CDC7","Other","CDC7",NA,NA,NA,NA,NA
"CDK1","CDK1","ENSG00000170312","cyclin dependent kinase 1","Cyclin dependent kinases","Y","N","N","HGNC:1722","CDK1","CMGC","CDK","CDK10",NA,NA,NA,NA
"CDK10","CDK10","ENSG00000185324","cyclin dependent kinase 10","Cyclin dependent kinases","Y","N","N","HGNC:1770","CDK10","CMGC","CDK","CDK10",NA,NA,NA,NA
"CDK11A","CDK11A","ENSG00000008128","cyclin dependent kinase 11A","Cyclin dependent kinases","Y","N","N","HGNC:1730","CDK11A","CMGC","CDK","CDK8",NA,NA,NA,NA
"CDK11B","CDK11B","ENSG00000248333","cyclin dependent kinase 11B","Cyclin dependent kinases","Y","N","N","HGNC:1729","CDK11B","CMGC","CDK","CDK8",NA,NA,NA,NA
"CDK12","CDK12","ENSG00000167258","cyclin dependent kinase 12","Cyclin dependent kinases","Y","N","N","HGNC:24224","CDK12",NA,NA,NA,NA,NA,NA,NA
"CDK13","CDK13","ENSG00000065883","cyclin dependent kinase 13","Cyclin dependent kinases","Y","N","N","HGNC:1733","CDK13",NA,NA,NA,NA,NA,NA,NA
"CDK14","CDK14","ENSG00000058091","cyclin dependent kinase 14","Cyclin dependent kinases","Y","N","N","HGNC:8883","CDK14",NA,NA,NA,NA,NA,NA,NA
"CDK15","CDK15","ENSG00000138395","cyclin dependent kinase 15","Cyclin dependent kinases","Y","N","N","HGNC:14434","CDK15",NA,NA,NA,NA,NA,NA,NA
"CDK16","CDK16","ENSG00000102225","cyclin dependent kinase 16","Cyclin dependent kinases","Y","N","N","HGNC:8749","CDK16",NA,NA,NA,NA,NA,NA,NA
"CDK17","CDK17","ENSG00000059758","cyclin dependent kinase 17","Cyclin dependent kinases","Y","N","N","HGNC:8750","CDK17",NA,NA,NA,NA,NA,NA,NA
"CDK18","CDK18","ENSG00000117266","cyclin dependent kinase 18","Cyclin dependent kinases","Y","N","N","HGNC:8751","CDK18",NA,NA,NA,NA,NA,NA,NA
"CDK19","CDK19","ENSG00000155111","cyclin dependent kinase 19","Cyclin dependent kinases","Y","N","N","HGNC:19338","CDK19",NA,NA,NA,NA,NA,NA,NA
"CDK2","CDK2","ENSG00000123374","cyclin dependent kinase 2","Cyclin dependent kinases","Y","N","N","HGNC:1771","CDK2","CMGC","CDK","CDC2",NA,NA,NA,NA
"CDK20","CDK20","ENSG00000156345","cyclin dependent kinase 20","Cyclin dependent kinases","Y","N","N","HGNC:21420","CDK20","CMGC","CDK","CDC2",NA,NA,NA,NA
"CDK2AP2","CDK2AP2","ENSG00000167797","cyclin dependent kinase 2 associated protein 2",NA,"N","N","N","HGNC:30833","CDK2AP2","CMGC","CDK","CDC2",NA,NA,NA,NA
"CDK3","CDK3","ENSG00000250506","cyclin dependent kinase 3","Cyclin dependent kinases","Y","N","N","HGNC:1772","CDK3","CMGC","CDK","CDC2",NA,NA,NA,NA
"CDK4","CDK4","ENSG00000135446","cyclin dependent kinase 4","Cyclin dependent kinases","Y","N","N","HGNC:1773","CDK4","CMGC","CDK","CDK4",NA,NA,NA,NA
"CDK5","CDK5","ENSG00000164885","cyclin dependent kinase 5","Cyclin dependent kinases","Y","N","N","HGNC:1774","CDK5","CMGC","CDK","CDK5",NA,NA,NA,NA
"CDK5R1","CDK5R1","ENSG00000176749","cyclin dependent kinase 5 regulatory subunit 1",NA,"N","N","N","HGNC:1775","CDK5R1","CMGC","CDK","CDK5",NA,NA,NA,NA
"CDK6","CDK6","ENSG00000105810","cyclin dependent kinase 6","Cyclin dependent kinases","Y","N","N","HGNC:1777","CDK6","CMGC","CDK","CDK4",NA,NA,NA,NA
"CDK7","CDK7","ENSG00000134058","cyclin dependent kinase 7","CDK activating kinase complex","Y","N","N","HGNC:1778","CDK7","CMGC","CDK","CDK7",NA,NA,NA,NA
"CDK8","CDK8","ENSG00000132964","cyclin dependent kinase 8","Cyclin dependent kinases","Y","N","N","HGNC:1779","CDK8","CMGC","CDK","CDK8",NA,NA,NA,NA
"CDK9","CDK9","ENSG00000136807","cyclin dependent kinase 9","Cyclin dependent kinases","Y","N","N","HGNC:1780","CDK9","CMGC","CDK","CDK9",NA,NA,NA,NA
"CDKL1","CDKL1","ENSG00000100490","cyclin dependent kinase like 1","Cyclin dependent kinases","Y","N","N","HGNC:1781","CDKL1","CMGC","CDKL",NA,NA,NA,NA,NA
"CDKL2","CDKL2","ENSG00000138769","cyclin dependent kinase like 2","Cyclin dependent kinases","Y","N","N","HGNC:1782","CDKL2","CMGC","CDKL",NA,NA,NA,NA,NA
"CDKL3","CDKL3","ENSG00000006837","cyclin dependent kinase like 3","Cyclin dependent kinases","Y","N","N","HGNC:15483","CDKL3","CMGC","CDKL",NA,NA,NA,NA,NA
"CDKL4","CDKL4","ENSG00000205111","cyclin dependent kinase like 4","Cyclin dependent kinases","Y","N","N","HGNC:19287","CDKL4","CMGC","CDKL",NA,NA,NA,NA,NA
"CDKL5","CDKL5","ENSG00000008086","cyclin dependent kinase like 5","Cyclin dependent kinases","Y","N","N","HGNC:11411","CDKL5","CMGC","CDKL",NA,NA,NA,NA,NA
"CERK","CERK","ENSG00000100422","ceramide kinase",NA,"N","Y","Y","HGNC:19256","CERK",NA,NA,NA,NA,NA,NA,NA
"CERKL","CERKL","ENSG00000188452","CERK like autophagy regulator",NA,"N","N","N","HGNC:21699","CERKL",NA,NA,NA,NA,NA,NA,NA
"CERT1","CERT1","ENSG00000113163","ceramide transporter 1",NA,"N","N","N","HGNC:2205","CERT1",NA,NA,NA,NA,NA,NA,NA
"CHEK1","CHEK1","ENSG00000149554","checkpoint kinase 1","Checkpoint kinase 1 family","Y","N","N","HGNC:1925","CHEK1",NA,NA,NA,NA,NA,NA,NA
"CHEK2","CHEK2","ENSG00000183765","checkpoint kinase 2","Checkpoint kinase 2 family","Y","N","N","HGNC:16627","CHEK2",NA,NA,NA,NA,NA,NA,NA
"CHKA","CHKA","ENSG00000110721","choline kinase alpha","Choline kinase family","Y","Y","Y","HGNC:1937","CHKA",NA,NA,NA,NA,NA,NA,NA
"CHKB","CHKB","ENSG00000100288","choline kinase beta","Choline kinase family","Y","Y","Y","HGNC:1938","CHKB",NA,NA,NA,NA,NA,NA,NA
"CHUK","CHUK","ENSG00000213341","component of inhibitor of nuclear factor kappa B kinase complex","I kappa B kinases","Y","N","Y","HGNC:1974","CHUK",NA,NA,NA,NA,NA,NA,NA
"CIITA","CIITA","ENSG00000179583","class II major histocompatibility complex transactivator",NA,"N","N","N","HGNC:7067","CIITA",NA,NA,NA,NA,NA,NA,NA
"CILK1","CILK1","ENSG00000112144","ciliogenesis associated kinase 1","CILK1, MAK, MOK protein kinase family","Y","N","N","HGNC:21219","CILK1",NA,NA,NA,NA,NA,NA,NA
"CIT","CIT","ENSG00000122966","citron rho-interacting serine/threonine kinase","DMPK kinase family","Y","N","N","HGNC:1985","CIT",NA,NA,NA,NA,NA,NA,NA
"CKB","CKB","ENSG00000166165","creatine kinase B","Creatine kinase family","Y","Y","N","HGNC:1991","CKB",NA,NA,NA,NA,NA,NA,NA
"CKM","CKM","ENSG00000104879","creatine kinase, M-type","Creatine kinase family","Y","Y","N","HGNC:1994","CKM",NA,NA,NA,NA,NA,NA,NA
"CKMT1A","CKMT1A","ENSG00000223572","creatine kinase, mitochondrial 1A","Creatine kinase family","Y","Y","N","HGNC:31736","CKMT1A",NA,NA,NA,NA,NA,NA,NA
"CKMT1B","CKMT1B","ENSG00000237289","creatine kinase, mitochondrial 1B","Creatine kinase family","Y","Y","N","HGNC:1995","CKMT1B",NA,NA,NA,NA,NA,NA,NA
"CKMT2","CKMT2","ENSG00000131730","creatine kinase, mitochondrial 2","Creatine kinase family","Y","Y","N","HGNC:1996","CKMT2",NA,NA,NA,NA,NA,NA,NA
"CKS1B","CKS1B","ENSG00000173207","CDC28 protein kinase regulatory subunit 1B",NA,"N","N","N","HGNC:19083","CKS1B",NA,NA,NA,NA,NA,NA,NA
"CLK1","CLK1","ENSG00000013441","CDC like kinase 1","CDC like kinases","Y","N","N","HGNC:2068","CLK1","CMGC","CLK",NA,NA,NA,NA,NA
"CLK2","CLK2","ENSG00000176444","CDC like kinase 2","CDC like kinases","Y","N","N","HGNC:2069","CLK2","CMGC","CLK",NA,NA,NA,NA,NA
"CLK3","CLK3","ENSG00000179335","CDC like kinase 3","CDC like kinases","Y","N","N","HGNC:2071","CLK3","CMGC","CLK",NA,NA,NA,NA,NA
"CLK4","CLK4","ENSG00000113240","CDC like kinase 4","CDC like kinases","Y","N","N","HGNC:13659","CLK4","CMGC","CLK",NA,NA,NA,NA,NA
"CLP1","CLP1","ENSG00000172409","cleavage factor polyribonucleotide kinase subunit 1",NA,"N","N","N","HGNC:16999","CLP1",NA,NA,NA,NA,NA,NA,NA
"CMPK1","CMPK1","ENSG00000162368","cytidine/uridine monophosphate kinase 1",NA,"N","Y","N","HGNC:18170","CMPK1",NA,NA,NA,NA,NA,NA,NA
"CMPK2","CMPK2","ENSG00000134326","cytidine/uridine monophosphate kinase 2",NA,"N","Y","N","HGNC:27015","CMPK2",NA,NA,NA,NA,NA,NA,NA
"CNKSR1","CNKSR1","ENSG00000142675","connector enhancer of kinase suppressor of Ras 1",NA,"N","N","N","HGNC:19700","CNKSR1",NA,NA,NA,NA,NA,NA,NA
"COASY","COASY","ENSG00000068120","Coenzyme A synthase",NA,"N","N","N","HGNC:29932","COASY",NA,NA,NA,NA,NA,NA,NA
"COQ8A","COQ8A","ENSG00000163050","coenzyme Q8A",NA,"N","N","N","HGNC:16812","COQ8A",NA,NA,NA,NA,NA,NA,NA
"COQ8B","COQ8B","ENSG00000123815","coenzyme Q8B",NA,"N","N","N","HGNC:19041","COQ8B",NA,NA,NA,NA,NA,NA,NA
"CPNE3","CPNE3","ENSG00000085719","copine 3",NA,"N","N","N","HGNC:2316","CPNE3",NA,NA,NA,NA,NA,NA,NA
"CSF1R","CSF1R","ENSG00000182578","colony stimulating factor 1 receptor","Receptor tyrosine kinases","Y","N","N","HGNC:2433","CSF1R",NA,NA,NA,NA,NA,NA,NA
